Genome,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc
DBP3_05697: Semialdehyde dehydrogenase,0.019719477,0.115933362,0.035082087,0.044623074,0.047089912,2.121343333,1.11516,0.859556667,1.213686667,-1.006183333,-1.261786667,-0.907656667
DBP4_05259: Acetyl-CoA synthetase,0.006757468,0.025732421,0.078145236,0.014808066,0.042715451,1.494773333,3.81565,0.813216667,2.618093333,2.320876667,-0.681556667,1.12332
DBP5_03668: Dihydroxy-acid dehydratase,0.011731938,0.029747337,0.018515856,0.012264796,0.012370307,0.90806,0.942366667,-0.25453,0.03433,0.034306667,-1.16259,-0.87373
DBP6_05390: NADH dehydrogenase,0.011405381,0.024865416,0.018253856,0.015892101,0.01295122,0.690166667,0.962533333,0.159983333,0.141263333,0.272366667,-0.530183333,-0.548903333
DEHP1_05608: Alcohol dehydrogenase,0.035325369,0.016507793,0.004431196,0.359614653,0.010869016,-1.531816667,-2.71089,3.029063333,-1.742593333,-1.179073333,4.56088,-0.210776667
"DEHP2_05610: 2,3-dehydroadipyl CoA hydratase",0.006953902,0.026492253,0.004386862,0.138802011,0.007806231,1.495416667,-0.380586667,4.00045,0.124693333,-1.876003333,2.505033333,-1.370723333
DEHP3_05611: Fatty-acid-CoA ligase,0.009062418,0.018722294,0.00672737,0.102488484,0.011663505,0.61253,-0.145806667,3.18081,0.321923333,-0.758336667,2.56828,-0.290606667
DEHP4_05613: CoA-transferase,0.011643364,0.019243802,0.003597994,0.269073779,0.008115028,0.290626667,-1.410196667,4.21181,-0.56295,-1.700823333,3.921183333,-0.853576667
DEHP5_05572: Nitrilotriacetate monooxygenase component A,0.006248166,0.02490411,0.062905432,0.3263504,0.018874102,1.56062,3.615726667,5.388233333,1.552793333,2.055106667,3.827613333,-0.007826667
DEHP6_05697: Succinate semialdehyde dehydrogenase,0.019719477,0.115933362,0.035082087,0.044623074,0.047089912,2.121343333,1.11516,0.859556667,1.213686667,-1.006183333,-1.261786667,-0.907656667
TRANS_03476: Porin,0.006216329,0.058452871,0.055005832,0.017958372,0.014750883,2.79888,3.429496667,1.21191,1.204556667,0.630616667,-1.58697,-1.594323333
TRANS_05053: ABC transporter,0.00709382,0.012959624,0.005890388,0.017056598,0.010612893,0.43513,0.015846667,0.947083333,0.539073333,-0.419283333,0.511953333,0.103943333
TRANS_02669: ABC transporter,0.088355176,0.143997036,0.157546368,0.110659589,0.125033955,0.270393333,1.118436667,0.00613,0.458823333,0.848043333,-0.264263333,0.18843
TRANSexo_02669: ABC transporter,0.188233001,0.730566659,0.400203281,0.196290004,0.415553459,2.419386,0.844274667,0.072045667,0.998897667,-1.575111333,-2.347340333,-1.420488333
SURF_00368: Putative lipoprotein,0.004430039,0.017175045,0.029425656,0.016450178,0.008140587,1.520663333,3.01573,1.5741,0.835703333,1.495066667,0.053436667,-0.68496
SURF_03162: Putative lipoprotein,0.006517473,0.025679205,0.008711851,0.016526905,0.012990299,1.543956667,0.702713333,1.02382,0.95294,-0.841243333,-0.520136667,-0.591016667
SURF_03238: Lipoprotein,0.008900663,0.013973634,0.053453013,0.024244316,0.008628598,0.216463333,2.870333333,1.12705,-0.086896667,2.65387,0.910586667,-0.30336
Esterase_00724: Hydrolase,0.007599491,0.019659508,0.055644198,0.014577028,0.04015412,0.936993333,3.156303333,0.62111,2.359463333,2.21931,-0.315883333,1.42247
Butanol_04430: Acyl-CoA dehydrogenase,0.007722829,0.014748558,0.231630168,0.01575289,0.008379589,0.499113333,5.190596667,0.709803333,0.07564,4.691483333,0.21069,-0.423473333
Butanol_04431: Enoyl-CoA hydratase,0.008111373,0.016823725,0.10745951,0.017481915,0.00827416,0.61822,4.01175,0.789233333,-0.013443333,3.39353,0.171013333,-0.631663333
Butanol_04432: Enoyl-CoA hydratase,0.016742071,0.016472436,0.376865527,0.014568206,0.009721998,-0.457683333,4.776546667,-0.519266667,-0.826263333,5.23423,-0.061583333,-0.36858
Butanol_04433: Acyl-CoA dehydrogenase,0.007332945,0.016932487,0.111781375,0.013599622,0.014251279,0.77307,4.21419,0.57249,0.916516667,3.44112,-0.20058,0.143446667
Butanol_04463: Acetyl-CoA acetyltransferase,0.006620894,0.022988153,0.064091569,0.01747505,0.007741766,1.361533333,3.559083333,1.081586667,0.183526667,2.19755,-0.279946667,-1.178006667
Butanol_04471: Acyl-CoA dehydrogenase,0.00986906,0.01337415,0.039474872,0.014397582,0.008966652,0.004203333,2.283996667,0.22623,-0.180453333,2.279793333,0.222026667,-0.184656667
Butanol_04473: Acyl-CoA dehydrogenase,0.008871221,0.01776873,0.035470047,0.018839272,0.010341351,0.567876667,2.283443333,0.767926667,0.17911,1.715566667,0.20005,-0.388766667
Butanol_04474: Enoyl-CoA hydratase,0.007917689,0.013996996,0.087214092,0.01843959,0.008621324,0.387706667,3.745456667,0.901043333,0.08072,3.35775,0.513336667,-0.306986667
Butanol_01663: Fatty-acid CoA ligase,0.006038762,0.01654873,0.015362836,0.017230365,0.010584365,1.020136667,1.631166667,1.194016667,0.7675,0.61103,0.17388,-0.252636667
Regulator_03203 Pectin degradation repressor protein KdgR,0.009215992,0.014920135,0.102109694,0.016647858,0.011390818,0.26079,3.753883333,0.534513333,0.26355,3.493093333,0.273723333,0.00276
