Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
BDBJPGFE_00243 sn-glycerol-3-phosphate-binding periplasmic protein UgpB,-14.14281,-14.34957,-14.4654,-8.006065,-8.480938,-8.18676,-11.32023,-11.37111,-11.10533,-12.18035,-12.50345,-11.79687,-13.34798,-11.02396,-15.21933
BDBJPGFE_00254 Solute-binding protein,-9.231629,-10.24445,-10.39417,-13.67478,-13.5365,-15.2113,-11.14717,-10.90336,-12.204,-18.00046,-16.25079,-17.49849,-14.98099,-15.51133,-15.07287
BDBJPGFE_00260 hypothetical protein,-19.42791,-20.36452,-18.86079,-11.29875,-12.25337,-15.34232,-14.12948,-12.51489,-13.46958,-15.06673,-16.30026,-15.14043,-15.20942,-14.955,-15.93902
BDBJPGFE_00264 Sialic acid-binding periplasmic protein SiaP,-14.32826,-13.49307,-17.82488,-13.20637,-13.24108,-15.613,-11.7542,-11.58259,-12.33805,-13.42419,-15.95236,-16.39275,-10.12224,-16.43893,-16.03012
BDBJPGFE_00269 Solute-binding protein,-10.50036,-11.59371,-11.52257,-9.908769,-9.039773,-9.428465,-8.581424,-8.58492,-8.856841,-9.534966,-9.604675,-9.459102,-8.301209,-8.775454,-8.651975
BDBJPGFE_00280 hypothetical protein,-14.02322,-19.12489,-19.96339,-12.00383,-9.878823,-9.648832,-10.76486,-10.75938,-11.19168,-12.43662,-12.35926,-12.51103,-11.89777,-11.97776,-12.19958
BDBJPGFE_00283 Alpha-ketoglutaric semialdehyde dehydrogenase,-18.87265,-20.70776,-18.82007,-14.5239,-14.70246,-17.39381,-13.51528,-13.70935,-14.84698,-16.07931,-16.74874,-15.14017,-15.95455,-16.30144,-15.93584
BDBJPGFE_00290 Aldose 1-epimerase,-12.77554,-13.93723,-14.24902,-10.5503,-11.1245,-10.67202,-12.2138,-12.64499,-12.3222,-11.04228,-16.11771,-16.96385,-10.37171,-14.56839,-15.06566
BDBJPGFE_00291 L-arabinose-binding periplasmic protein,-10.91456,-11.65194,-11.83332,-10.25663,-9.860801,-9.799808,-10.63654,-10.56332,-10.31193,-11.76719,-17.18789,-15.9146,-11.30468,-15.18118,-14.41498
BDBJPGFE_00301 Ribose import binding protein RbsB,-17.30272,-20.78779,-18.63907,-12.33576,-10.64712,-11.07229,-13.35961,-12.64775,-13.24577,-15.97001,-15.72968,-12.95726,-12.38593,-14.72051,-13.3484
BDBJPGFE_00305 Putative binding protein MsmE,-15.25909,-20.36395,-18.32487,-11.0308,-11.35915,-11.19331,-12.86879,-13.09569,-12.82475,-13.18933,-18.51659,-16.13774,-15.507,-15.10599,-14.97802
BDBJPGFE_00326 UDP-glucose 6-dehydrogenase,-16.316,-20.55488,-19.26592,-14.79191,-16.29258,-15.81032,-13.49354,-13.39065,-13.58755,-17.34864,-16.39109,-14.89584,-15.75778,-15.79717,-14.12624
BDBJPGFE_00327 Flagellar hook-associated protein 2,-4.42131,-4.163424,-4.224041,-6.588414,-7.396909,-7.456777,-7.787094,-6.475543,-6.431487,-5.436677,-5.732096,-5.317549,-5.515413,-4.788895,-5.33572
BDBJPGFE_00328 Flagellar hook-associated protein 2,-5.248389,-5.305991,-4.946885,-7.150424,-7.749097,-7.876245,-7.529813,-7.263413,-6.980736,-6.51421,-7.234678,-6.606598,-5.98159,-5.657035,-6.105444
BDBJPGFE_00329 Flagellin,-1.744063,-1.731396,-1.674022,-2.398643,-3.352343,-3.0336,-1.728688,-2.213901,-2.170375,-0.9455715,-0.7248572,-0.7811587,-0.9849097,-1.133888,-1.006414
BDBJPGFE_00333 hypothetical protein,-19.11197,-19.29354,-19.26621,-14.18022,-14.34765,-15.43168,-14.75029,-14.57976,-15.44254,-16.22587,-17.20942,-16.3876,-15.61071,-16.18238,-13.56089
BDBJPGFE_00334 putative amino-acid-binding protein YxeM,-8.167289,-9.103976,-9.766362,-7.816997,-6.76093,-7.059343,-7.606658,-7.734695,-7.857185,-8.817381,-8.806392,-8.51348,-8.569571,-8.865321,-8.631867
BDBJPGFE_00340 30S ribosomal protein S20,-19.33888,-19.07186,-18.23345,-9.673624,-9.16141,-9.503267,-11.92729,-10.87969,-11.82969,-15.63298,-16.49573,-15.90368,-14.35466,-15.49892,-14.39667
BDBJPGFE_00343 Isoleucine--tRNA ligase,-16.24051,-16.15812,-16.4195,-14.42794,-14.30682,-14.80282,-12.10141,-12.58442,-12.30439,-14.04394,-14.78978,-15.36313,-14.62136,-16.82768,-14.55124
BDBJPGFE_00352 Major exported protein,-8.671494,-8.845214,-9.295785,-9.147668,-8.487991,-9.468675,-12.50145,-10.20682,-11.38288,-9.880986,-11.43176,-9.787134,-9.845616,-8.443624,-9.045859
BDBJPGFE_00375 NAD-dependent malic enzyme,-18.57195,-18.71486,-19.92595,-11.66991,-12.25014,-13.44498,-12.10038,-12.5246,-12.5404,-15.89993,-13.96429,-12.87129,-13.25605,-15.97805,-13.7185
BDBJPGFE_00376 Aconitate hydratase A,-16.94404,-16.73361,-16.92331,-12.13308,-13.49992,-13.73157,-9.921505,-10.36572,-10.72556,-17.20102,-17.03119,-18.0489,-14.51709,-13.32295,-15.27252
BDBJPGFE_00386 Outer membrane protein assembly factor BamD,-15.3414,-19.2062,-19.40647,-17.54086,-15.30491,-17.45975,-13.8972,-13.84772,-12.95729,-13.89896,-16.15487,-15.30693,-15.98896,-14.65,-15.43137
BDBJPGFE_00389 Chaperone protein ClpB,-21.06733,-19.62432,-19.18469,-14.10464,-14.29451,-15.01317,-15.22984,-14.19013,-14.44474,-15.37533,-14.91614,-14.88581,-15.3308,-15.149,-15.90146
BDBJPGFE_00391 Acetolactate synthase isozyme 3 large subunit,-17.36253,-17.68563,-18.53295,-15.01952,-14.75922,-14.70905,-9.753627,-9.642667,-10.67363,-11.79089,-11.59358,-11.78788,-14.26502,-12.27629,-12.33532
BDBJPGFE_00392 Acetolactate synthase isozyme 3 small subunit,-21.70147,-18.72094,-18.68254,-12.16765,-12.55739,-13.21869,-10.14836,-10.20492,-10.16753,-14.85544,-16.48359,-17.36019,-16.10201,-13.92263,-15.06423
BDBJPGFE_00402 Solute-binding protein,-9.207393,-10.34594,-10.88489,-10.74499,-10.40836,-11.14558,-8.6382,-8.179565,-8.320844,-10.66294,-9.990119,-10.61922,-10.53513,-11.01591,-10.76369
BDBJPGFE_00405 Solute-binding protein,-12.01175,-13.50871,-13.94007,-15.07785,-11.79328,-12.01733,-11.37748,-11.52949,-11.5222,-15.51922,-16.67058,-16.066,-14.18036,-14.31273,-15.07842
BDBJPGFE_00439 Ferric enterobactin receptor,-19.12382,-20.14039,-18.68267,-15.10385,-15.11073,-16.1713,-14.54764,-14.6967,-13.96583,-17.83361,-16.07083,-16.25323,-15.48287,-14.60809,-16.03733
BDBJPGFE_00444 Periplasmic zinc-binding protein TroA,-11.35147,-12.25432,-13.92015,-13.94568,-14.15316,-15.51688,-14.13667,-13.43984,-13.75145,-16.56211,-16.52277,-15.62034,-15.6433,-15.86951,-16.55264
BDBJPGFE_00455 hypothetical protein,-9.194664,-10.13166,-10.53935,-9.571036,-8.141171,-8.528759,-8.803639,-8.57075,-9.158212,-9.953834,-9.806388,-10.08871,-9.525685,-10.40379,-10.05684
BDBJPGFE_00463 Flagellin,-7.407753,-7.62437,-7.381416,-8.37776,-9.170758,-9.755788,-8.451535,-8.70517,-8.899417,-7.931788,-7.392825,-7.929671,-7.252775,-7.901374,-7.214781
BDBJPGFE_00472 D-3-phosphoglycerate dehydrogenase,-14.64221,-14.92551,-14.31933,-15.46774,-15.96048,-15.45707,-11.70016,-12.12041,-12.02636,-12.83239,-16.53714,-16.18803,-16.2291,-14.39279,-14.28508
BDBJPGFE_00484 Polyamine aminopropyltransferase,-17.96075,-18.37808,-19.95477,-11.0731,-10.23472,-10.05765,-11.74967,-11.16688,-11.30903,-15.88567,-16.10305,-16.10793,-15.46997,-14.11084,-13.61108
BDBJPGFE_00485 Putative amino-acid ABC transporter-binding protein YhdW,-8.264774,-9.5462,-9.555566,-6.334851,-5.489612,-4.98061,-5.172872,-5.030496,-5.05522,-7.15406,-7.205051,-7.270366,-6.311734,-6.806991,-6.458978
BDBJPGFE_00492 putative phosphite transport system-binding protein PtxB,-9.518791,-10.57893,-11.38697,-14.89224,-16.3967,-14.57346,-10.64734,-10.21741,-11.14505,-11.85872,-12.63651,-12.10929,-11.60259,-12.46158,-10.23143
BDBJPGFE_00500 Ferredoxin--NADP reductase,-15.00921,-15.04525,-14.51702,-14.87582,-12.9125,-13.07691,-12.75871,-12.68487,-12.7308,-16.66682,-14.97364,-14.991,-15.85027,-13.86304,-14.55344
BDBJPGFE_00501 Nitrogen regulatory protein P-II 2;BDBJPGFE_00503 Nitrogen regulatory protein P-II,-13.78803,-14.40473,-18.70096,-11.71667,-10.08141,-11.57737,-10.30735,-10.16175,-11.36634,-16.67061,-17.20489,-16.74197,-15.40726,-15.08018,-15.29419
BDBJPGFE_00505 Ferric aerobactin receptor,-17.81161,-15.68965,-16.30294,-13.85099,-14.39198,-14.07244,-11.73568,-11.77682,-11.48812,-14.52217,-14.33142,-14.21265,-14.80184,-14.6083,-14.71692
BDBJPGFE_00513 Disulfide bond formation protein D,-12.16685,-13.30868,-14.50855,-13.31647,-11.30305,-12.55197,-13.06633,-13.51262,-15.61554,-17.6119,-16.97619,-17.35529,-15.40008,-15.79771,-15.4589
BDBJPGFE_00529 hypothetical protein,-16.88899,-19.47969,-18.77868,-10.78326,-11.4548,-11.62539,-13.74617,-13.58953,-13.04171,-16.15925,-16.34874,-17.11976,-15.1839,-14.79614,-15.39115
BDBJPGFE_00534 Malate synthase G,-14.3998,-14.1691,-14.16109,-12.07524,-12.18809,-12.48894,-7.67526,-8.397824,-8.400438,-10.52353,-10.4249,-10.10637,-10.55255,-9.947096,-10.12699
BDBJPGFE_00555 Ectoine-binding periplasmic protein TeaA,-6.921004,-8.008857,-8.024044,-7.550141,-7.33616,-7.61675,-6.722897,-6.412972,-6.710868,-7.823747,-7.784272,-7.686827,-7.441929,-7.919224,-7.744583
BDBJPGFE_00564 Monocarboxylate 2-oxoacid-binding periplasmic protein,-9.730844,-11.01596,-11.27417,-17.22878,-14.9834,-14.35118,-11.40627,-10.96768,-10.18949,-10.27545,-10.74262,-11.38503,-12.378,-10.76048,-10.97713
BDBJPGFE_00568 Thiol:disulfide interchange protein DsbA,-9.14106,-9.790935,-10.77013,-8.997022,-7.733029,-7.811122,-8.520116,-8.706273,-8.87341,-9.374375,-9.321092,-8.980379,-8.2446,-8.922842,-8.907416
BDBJPGFE_00575 Diaminopimelate decarboxylase,-21.62197,-18.91464,-19.71081,-13.09913,-13.33841,-16.03593,-13.79413,-13.88802,-14.43273,-15.10074,-15.8986,-16.56239,-14.94116,-15.254,-15.69351
BDBJPGFE_00577 Argininosuccinate lyase,-16.46309,-15.58411,-15.64943,-9.890042,-10.29155,-10.33523,-11.54611,-12.27041,-12.58235,-15.07158,-17.30494,-15.58921,-13.62485,-13.8233,-16.44997
BDBJPGFE_00579 Porphobilinogen deaminase,-19.29258,-19.96549,-18.95007,-13.01887,-13.79684,-13.78435,-13.06425,-13.42646,-15.98926,-16.90454,-16.26847,-15.41036,-15.56789,-16.83394,-12.84309
BDBJPGFE_00592 Aliphatic amidase expression-regulating protein,-15.45871,-16.65398,-18.89433,-10.90706,-11.04218,-10.03573,-12.97695,-12.70055,-13.63463,-16.3053,-17.39398,-15.63448,-15.31936,-14.01791,-14.72667
"BDBJPGFE_00601 Catechol 1,2-dioxygenase;BDBJPGFE_00595 Catechol 1,2-dioxygenase",-17.91383,-19.37998,-17.10243,-10.46918,-10.55346,-15.84087,-11.52533,-11.58546,-10.86765,-15.88124,-17.35632,-14.84413,-14.3963,-14.12918,-16.45276
BDBJPGFE_00607 hypothetical protein,-17.99498,-20.13913,-17.76859,-12.44656,-11.98684,-12.71527,-12.60904,-17.03508,-17.44648,-15.36676,-17.23471,-15.3758,-15.90563,-15.38988,-14.44481
BDBJPGFE_00618 Solute-binding protein,-14.66748,-19.07792,-19.55337,-12.73005,-11.87676,-11.95395,-13.5675,-13.27334,-13.38167,-13.32287,-16.60674,-14.91069,-15.82038,-16.3889,-15.45598
BDBJPGFE_00619 Solute-binding protein,-14.16394,-15.82034,-18.83702,-14.9941,-13.98922,-16.19634,-13.01506,-13.18118,-12.92384,-15.72202,-16.1629,-15.2485,-12.42629,-14.87796,-15.26476
BDBJPGFE_00620 Vanillin dehydrogenase,-17.50403,-21.22784,-17.98638,-15.73382,-14.55278,-15.78738,-13.51714,-13.80715,-13.22386,-15.19792,-16.15761,-15.79295,-13.72657,-15.6747,-14.44822
BDBJPGFE_00631 Solute-binding protein,-20.78574,-18.46475,-18.90384,-15.89368,-16.43478,-15.92519,-13.60796,-13.83148,-13.52941,-15.82599,-15.67138,-16.56985,-14.16185,-14.30008,-13.93716
BDBJPGFE_00690 3-oxoadipate CoA-transferase subunit A;BDBJPGFE_00638 3-oxoadipate CoA-transferase subunit A,-19.84502,-18.04675,-19.54429,-12.19667,-12.17309,-12.06124,-15.48667,-15.34883,-14.98657,-17.2622,-16.7489,-16.10399,-14.43493,-15.16567,-14.21848
BDBJPGFE_00645 4-hydroxybenzaldehyde dehydrogenase (NADP(+)),-21.97139,-21.21662,-20.28674,-12.01462,-12.23961,-12.0481,-13.35875,-13.58501,-13.49231,-16.25691,-16.6413,-15.36744,-15.25901,-14.74572,-15.74973
BDBJPGFE_00647 4-cresol dehydrogenase [hydroxylating] flavoprotein subunit,-18.35457,-18.82187,-17.51518,-10.76057,-9.274255,-10.92482,-12.72483,-12.22643,-12.16431,-16.5866,-12.9434,-12.71988,-11.52839,-15.42359,-11.61822
BDBJPGFE_00673 Solute-binding protein,-13.48145,-14.00581,-14.65754,-12.82081,-12.43048,-13.50007,-13.62534,-12.51838,-13.19856,-13.88816,-15.8982,-14.14274,-13.35726,-16.04303,-15.1323
BDBJPGFE_00688 Beta-ketoadipyl-CoA thiolase;BDBJPGFE_00636 Beta-ketoadipyl-CoA thiolase,-21.55247,-18.14714,-19.74628,-12.48447,-13.04462,-12.52671,-17.53202,-17.19853,-17.51254,-16.30809,-16.56191,-14.96111,-14.81514,-14.5689,-16.41861
BDBJPGFE_00693 putative protein,-13.66989,-14.80767,-14.87806,-12.05337,-11.45187,-12.37764,-11.21325,-10.79883,-11.94305,-14.27144,-16.95466,-14.37623,-13.65072,-15.75721,-14.54721
BDBJPGFE_00699 Solute-binding protein,-12.48009,-13.62596,-13.78703,-12.69455,-12.58443,-12.93979,-12.5609,-12.27884,-12.89527,-16.68576,-16.93765,-16.88809,-15.32614,-16.57101,-15.5768
BDBJPGFE_00711 hypothetical protein,-9.440992,-10.21265,-11.07934,-13.42984,-11.7538,-13.25823,-9.390458,-9.232889,-9.61827,-10.83344,-11.38156,-10.88942,-10.01957,-11.48154,-11.15084
BDBJPGFE_00714 putative protein,-18.53414,-18.61628,-20.11522,-15.49791,-15.5727,-15.53412,-15.91451,-15.09709,-15.25305,-15.23011,-15.44153,-16.13229,-15.53435,-14.25079,-15.38836
BDBJPGFE_00720 Monocarboxylate 2-oxoacid-binding periplasmic protein,-8.644902,-9.0571,-9.760555,-9.450482,-8.553857,-9.061306,-9.625731,-9.335671,-9.509871,-10.44215,-11.96269,-12.04489,-11.33996,-15.71653,-12.59598
BDBJPGFE_00726 Phosphate-specific transport system accessory protein PhoU,-19.76222,-19.83496,-19.686,-10.08008,-8.990526,-9.361413,-12.44023,-11.58727,-13.6569,-12.73129,-17.06915,-15.71266,-14.46782,-14.81676,-15.70951
BDBJPGFE_00767 hypothetical protein,-10.4129,-10.8254,-10.38271,-12.48186,-9.962983,-9.622374,-10.6495,-10.74929,-10.22664,-8.682211,-8.058063,-7.97397,-9.057934,-15.31328,-8.807702
BDBJPGFE_00828 Protein-methionine-sulfoxide reductase catalytic subunit MsrP,-19.64362,-19.82871,-15.84704,-16.48217,-14.7083,-16.41729,-15.17855,-14.51862,-14.91624,-16.77968,-15.91058,-15.47132,-15.3341,-16.19628,-15.24923
BDBJPGFE_00861 Vitamin B12 transporter BtuB,-17.81606,-17.37735,-17.10666,-14.65281,-14.55403,-15.10472,-14.41514,-14.85585,-14.68708,-14.70279,-15.7564,-13.74692,-12.56333,-15.03625,-15.6659
BDBJPGFE_00871 Iron-regulated protein A,-11.34081,-13.15337,-13.57366,-15.85296,-15.47012,-16.09896,-11.85963,-12.40241,-12.93309,-13.49189,-16.48022,-13.83631,-15.58859,-14.82866,-15.64644
BDBJPGFE_00892 Ferrichrome outer membrane transporter/phage receptor,-14.01425,-13.43458,-13.44105,-12.79412,-13.61259,-13.25623,-10.94315,-10.90553,-10.50592,-11.98671,-12.27264,-12.07062,-12.41039,-12.30835,-12.50259
BDBJPGFE_00898 Vibriobactin utilization protein ViuB,-20.43555,-17.7875,-20.91922,-15.28894,-16.25521,-15.93062,-14.44495,-14.23705,-14.50263,-14.25348,-17.18555,-16.71485,-15.2437,-15.01664,-15.13029
BDBJPGFE_00919 Uronate isomerase,-19.14549,-19.63185,-20.00762,-13.39032,-14.20073,-13.79099,-14.67549,-16.71768,-16.93118,-15.46901,-17.03503,-16.69048,-16.3026,-14.49874,-15.57171
BDBJPGFE_00923 Solute-binding protein,-13.10596,-13.58098,-14.39518,-12.29111,-11.30117,-11.69047,-10.9777,-10.4296,-10.81188,-12.3816,-13.19019,-12.06981,-12.27732,-12.48688,-12.92958
BDBJPGFE_00931 Metalloprotease LoiP,-18.4241,-18.3972,-19.78145,-13.16356,-12.57416,-12.52904,-12.03707,-11.89353,-11.5105,-17.2602,-16.31354,-15.99498,-15.73235,-14.59245,-14.76092
BDBJPGFE_00941 hypothetical protein,-14.12602,-18.69149,-19.23589,-15.97809,-16.80266,-15.26802,-13.0129,-13.17945,-13.68251,-16.62242,-15.48841,-15.99474,-14.22383,-13.54526,-15.48769
BDBJPGFE_00946 hypothetical protein,-18.89761,-20.7078,-18.4189,-13.43483,-14.00667,-14.62156,-13.89318,-14.19541,-14.8686,-15.27468,-16.50348,-16.11735,-16.04014,-15.72023,-15.85523
BDBJPGFE_00952 Alpha-ketoglutaric semialdehyde dehydrogenase,-17.83056,-17.57511,-17.65682,-11.78582,-11.35157,-13.00688,-11.37311,-11.36868,-12.19928,-15.47764,-15.1992,-15.04025,-16.88408,-14.66192,-15.22794
BDBJPGFE_00988 Solute-binding protein,-12.81052,-13.88087,-14.26907,-15.77816,-14.7916,-15.69688,-12.92066,-12.68472,-12.81405,-15.15378,-16.15428,-17.10562,-15.31,-14.36033,-14.90388
BDBJPGFE_01006 hypothetical protein,-12.23876,-13.38694,-13.23714,-17.02151,-14.3816,-15.82646,-13.43246,-14.01894,-13.47585,-16.76855,-14.72206,-15.50652,-15.92457,-14.68654,-16.28807
BDBJPGFE_01013 Histidinol-phosphate aminotransferase,-19.41726,-18.70578,-18.48033,-13.78186,-13.61134,-13.87025,-12.91924,-12.44177,-14.17996,-16.88125,-16.92216,-16.13546,-15.63117,-16.29835,-15.93426
BDBJPGFE_01014 hypothetical protein,-11.45145,-11.57732,-12.30496,-10.95697,-10.28691,-10.21774,-10.04989,-10.42005,-10.14084,-9.757902,-10.3038,-10.24733,-9.717701,-9.596343,-10.22865
BDBJPGFE_01022 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,-19.94949,-19.28735,-19.55301,-16.8186,-15.03447,-15.79735,-13.637,-12.95738,-13.3142,-15.46475,-16.83672,-15.94302,-15.85328,-15.00791,-15.21172
BDBJPGFE_01026 hypothetical protein,-17.68704,-18.93217,-17.48516,-15.16569,-14.81682,-14.97523,-16.10874,-15.50985,-16.32669,-16.83398,-16.64575,-16.44983,-16.74655,-16.20553,-14.53776
BDBJPGFE_01038 DNA polymerase I,-20.66903,-17.73645,-19.66411,-13.77395,-13.82439,-14.91781,-13.25792,-13.94082,-13.39587,-16.94692,-15.65752,-15.30357,-15.51843,-15.25798,-16.84902
BDBJPGFE_01044 Iron deficiency-induced protein A,-9.617987,-10.3666,-10.63249,-7.193738,-6.879668,-6.464585,-7.874952,-7.443717,-7.982678,-9.125504,-10.17601,-9.796677,-9.158509,-9.056038,-9.298935
BDBJPGFE_01049 Monocarboxylate 2-oxoacid-binding periplasmic protein,-9.35006,-9.969707,-10.16839,-6.964015,-6.353035,-6.273194,-6.940434,-6.701807,-7.09009,-8.906716,-9.439316,-9.101342,-8.938808,-8.546754,-8.488378
BDBJPGFE_01051 Cytosol non-specific dipeptidase,-19.2271,-19.73654,-20.2364,-14.36472,-14.67951,-15.55066,-14.59132,-12.95112,-12.84262,-15.84653,-15.56844,-16.27488,-15.44443,-16.03366,-15.8819
BDBJPGFE_01052 putative protein,-20.71953,-15.17054,-15.08364,-11.12532,-9.977391,-10.81792,-10.72886,-11.4545,-16.81451,-16.33552,-18.40879,-15.3051,-16.10905,-14.86201,-14.70278
BDBJPGFE_01069 Beta-ketoacyl-[acyl-carrier-protein] synthase FabY,-21.39113,-19.70015,-18.88302,-14.04353,-15.74034,-14.51669,-14.1695,-14.43035,-15.0967,-14.88367,-16.45248,-16.5402,-14.87493,-14.28841,-15.26265
BDBJPGFE_01090 Delta-aminolevulinic acid dehydratase,-19.54287,-20.35538,-19.50845,-13.21566,-13.2267,-13.16033,-14.03457,-14.33062,-14.1369,-15.16657,-16.78381,-15.53807,-16.2653,-15.29091,-16.13492
BDBJPGFE_01091 Glyoxalase ElbB,-19.69596,-19.07747,-19.12684,-13.77671,-12.80986,-13.95945,-13.58025,-12.89647,-15.18753,-16.69473,-15.93996,-17.39052,-14.48412,-14.51571,-15.5618
BDBJPGFE_01100 ATP-dependent protease ATPase subunit HslU,-17.13225,-20.99374,-18.77655,-13.29472,-13.65165,-13.56536,-13.04303,-14.63243,-14.11477,-12.39978,-12.62926,-12.36244,-15.59583,-11.7888,-15.79257
BDBJPGFE_01103 Arginine--tRNA ligase,-15.44927,-15.12733,-15.13569,-11.34526,-11.54176,-11.65357,-10.97674,-11.78605,-11.91633,-14.6951,-18.09822,-15.30188,-15.65385,-15.26836,-15.9684
BDBJPGFE_01106 NADP-dependent malic enzyme,-14.92931,-19.1941,-19.66356,-10.28315,-9.791821,-9.968453,-10.8306,-10.89818,-11.20452,-13.53729,-15.93196,-15.60316,-15.28953,-15.16285,-15.48936
BDBJPGFE_01110 Phosphoribosylformylglycinamidine synthase,-18.48217,-17.44904,-20.67574,-13.4375,-13.67699,-13.56263,-12.70253,-12.91203,-13.09519,-14.81406,-17.25422,-16.93423,-15.07082,-14.81505,-16.168
BDBJPGFE_01122 Peroxiredoxin Bcp,-21.09843,-18.13009,-18.57241,-13.05363,-11.49335,-11.98004,-11.0653,-11.00549,-11.08739,-15.45649,-15.9702,-15.70632,-16.00305,-14.39357,-14.25876
