Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
JANJIKNC_00399 hypothetical protein,18.35488,19.59764,18.56168,18.77574,20.90511,19.55305,21.00299,20.01004,23.08651,19.98898,19.65429,20.29605,19.31911,17.95235,18.86452
JANJIKNC_00414 hypothetical protein,19.19412,18.92091,19.03123,18.44396,20.52351,19.18666,18.80306,18.59523,17.74299,20.12419,19.95694,18.56626,19.72249,19.42672,19.13461
JANJIKNC_00422 HTH-type transcriptional repressor KstR,20.31507,20.68902,20.55787,19.49512,19.911,20.50125,19.32052,19.02921,18.80681,19.92536,20.48689,20.68028,18.7363,20.14221,18.92322
"JANJIKNC_00428 Flavin-dependent monooxygenase, oxygenase subunit HsaA",18.19302,18.62997,18.86801,19.61837,21.37063,17.94635,21.57815,21.73694,21.53915,19.57108,20.15431,19.64378,18.80452,19.65336,18.70558
"JANJIKNC_00429 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase",21.17694,21.58463,21.64795,18.60111,19.96506,19.55695,21.26442,21.55885,21.40031,19.84679,19.82524,21.40748,21.15752,21.10636,19.09384
JANJIKNC_00432 hypothetical protein,18.61419,22.51477,21.54967,19.36923,19.23306,20.20771,22.51886,22.32655,25.27402,18.52501,20.41905,18.96637,23.33715,19.09848,23.43466
JANJIKNC_00457 Beta-ketoadipyl-CoA thiolase,20.94457,18.80798,21.38538,19.34711,20.48051,19.10528,21.12792,20.64174,20.93661,19.26348,19.00471,20.80381,19.36597,19.44343,18.64121
JANJIKNC_00471 PE-PGRS family protein PE_PGRS11,21.13144,21.00539,21.43268,20.72551,20.96976,20.69795,20.67219,20.76887,19.08785,22.49453,21.8808,22.76573,22.09681,22.35665,22.15848
JANJIKNC_00472 PE-PGRS family protein PE_PGRS11,24.37265,24.94127,24.44259,25.12349,25.20888,24.82745,23.49656,23.77384,22.53877,24.52193,24.95872,25.31444,25.41419,25.55865,25.67492
JANJIKNC_00473 Deazaflavin-dependent nitroreductase,18.40192,18.96288,18.35353,19.6884,20.6954,18.69731,20.52516,20.50096,21.14923,19.43925,20.13462,21.36736,21.41225,20.98008,21.13126
JANJIKNC_00482 PPE family immunomodulator PPE68,19.59785,18.1809,19.01325,19.48742,20.42165,19.21161,20.52219,20.2513,20.61567,19.94366,19.63178,19.91062,19.29045,19.16396,19.0253
JANJIKNC_00485 hypothetical protein,19.47431,19.25385,18.95718,18.46998,19.64873,19.8591,20.78867,21.02445,21.35219,20.38924,19.39931,20.46784,19.79498,19.24153,19.5259
"JANJIKNC_00487 2-hydroxyhexa-2,4-dienoate hydratase",18.91385,18.31287,19.06754,20.41318,20.20615,18.4694,22.12921,22.46057,22.44443,19.98272,18.69794,19.63198,19.21252,18.53012,18.55139
JANJIKNC_00488 Acetaldehyde dehydrogenase,21.77676,20.24632,21.21898,19.38468,20.33058,21.52545,21.91455,21.8189,22.56016,19.58853,21.92626,19.40402,19.3316,22.06319,20.95106
JANJIKNC_00496 Methionyl-tRNA formyltransferase,20.61899,20.4497,20.58564,19.76922,20.00263,18.39928,20.15783,19.93243,20.96212,20.55815,21.12528,20.80199,20.34224,20.49277,19.97085
JANJIKNC_00497 Putative methyltransferase,19.35445,18.47914,19.5801,19.45707,20.29649,19.45108,18.71052,18.55386,18.42902,20.01049,18.83278,19.65074,19.41369,19.28051,19.18323
JANJIKNC_00501 Lipoarabinomannan carrier protein LprG,20.84713,21.70691,21.29625,20.91225,21.40883,21.42008,23.65086,23.24716,23.74868,21.3977,21.96081,21.76996,21.55281,21.71988,22.38703
JANJIKNC_00502 Riboflavin synthase,19.77954,19.59911,19.01018,18.74837,20.11605,19.40454,19.93258,20.2903,20.70092,19.45639,19.9094,19.27799,20.11032,18.52181,19.75146
JANJIKNC_00503 Riboflavin biosynthesis protein RibBA,18.34196,19.54631,19.00843,19.68244,20.56156,19.36708,18.57518,18.75861,18.57533,19.35238,19.31449,19.17069,19.0389,18.6788,19.88958
JANJIKNC_00508 Nucleotide-binding protein,21.17377,21.37465,21.82985,18.83051,20.91246,21.1213,17.82212,21.15678,18.21641,19.44048,19.93379,19.70555,19.51677,19.68443,18.68492
JANJIKNC_00509 Putative gluconeogenesis factor,20.83553,20.65744,21.10162,18.65843,20.75351,20.36442,19.9679,20.22858,20.21478,19.16524,19.52174,19.14139,19.16166,20.97897,19.32449
JANJIKNC_00510 Putative sporulation transcription regulator WhiA,19.24018,19.55151,20.33527,19.45231,20.20248,19.33414,20.63281,21.11356,20.56839,19.60533,21.36861,19.05129,19.8776,19.21115,18.52795
JANJIKNC_00516 Glyceraldehyde-3-phosphate dehydrogenase,24.35891,23.99196,24.30709,23.61099,23.49741,23.33865,24.15576,23.94851,24.22839,24.36185,24.83634,24.50161,23.77435,24.18601,23.91989
JANJIKNC_00517 Phosphoglycerate kinase,24.85852,24.54191,24.89754,23.73913,23.46463,23.01122,23.69965,23.80114,23.88874,23.99542,23.79084,23.77183,23.78227,23.51063,23.88204
JANJIKNC_00518 Triosephosphate isomerase,21.8543,21.60164,22.33715,18.24994,19.29446,18.89308,19.66536,18.45742,18.06728,19.57258,19.529,18.88369,18.69769,18.92411,18.44489
JANJIKNC_00526 Glucose-6-phosphate 1-dehydrogenase 2,20.95978,21.60458,21.46354,19.17469,20.23752,20.19653,21.60449,20.6651,20.80853,19.71518,18.9438,19.00157,18.38703,20.12838,21.16515
JANJIKNC_00527 Transaldolase,19.78437,21.2111,19.19617,20.54811,19.97401,20.49121,22.92973,23.33115,22.14687,19.87699,20.07307,20.74271,21.76943,20.73983,21.75613
JANJIKNC_00528 Transketolase,19.25182,21.05444,18.01498,18.92632,20.23787,21.48395,22.55822,21.55009,21.42818,19.49912,19.94335,19.36894,21.37586,21.899,21.27782
JANJIKNC_00535 Quinone oxidoreductase 1,18.9865,18.92434,19.42653,19.45582,21.90417,19.86937,19.34741,19.21338,18.89776,19.09119,19.70913,20.66511,19.60592,19.13274,18.32291
JANJIKNC_00543 hypothetical protein,17.70957,19.64916,18.59162,19.53103,20.58265,20.84245,20.23631,20.35111,19.23841,19.27654,20.29852,19.86079,19.18436,18.84635,18.4549
JANJIKNC_00544 Vegetative protein 296,20.49502,20.28139,20.42358,19.36382,20.3396,20.68646,21.30941,21.39404,20.94371,21.20018,20.68551,19.73827,19.32861,18.86189,19.48553
JANJIKNC_00553 Putative thioredoxin 2,19.01321,20.80294,21.25465,18.20788,19.45112,19.96003,21.20395,20.89467,21.61598,19.35943,20.61711,20.30033,20.12347,20.0856,19.67029
JANJIKNC_00556 hypothetical protein,18.28501,18.18558,18.67349,21.65866,22.07594,21.74415,19.21485,20.03765,18.44315,19.34516,18.71584,19.40668,19.88948,18.94378,20.83453
JANJIKNC_00557 HTH-type transcriptional repressor AcnR,18.77127,17.69113,18.74776,18.4214,19.66673,19.23087,20.05165,19.65236,19.96437,19.77925,19.8873,20.5495,19.12194,19.88105,20.37528
JANJIKNC_00558 Aconitate hydratase A,20.45393,22.52198,21.74004,20.23916,19.55227,23.24066,24.6666,24.71806,23.75685,19.69478,20.16441,20.13641,22.54451,22.51696,22.34687
JANJIKNC_00560 Peptidoglycan endopeptidase RipA,19.52564,19.51075,19.51688,19.98426,19.97562,20.17073,20.82989,20.89252,19.89506,21.13684,21.11267,20.98572,21.12786,21.32499,20.82205
JANJIKNC_00561 Peptidoglycan endopeptidase RipB,17.85314,18.90913,19.15109,19.35539,20.80468,20.25515,20.1006,20.19868,20.03362,19.66522,20.36091,20.50436,18.99722,19.7027,19.40006
JANJIKNC_00562 hypothetical protein,26.50777,26.65595,26.75047,25.45579,24.86981,25.38255,25.67085,25.68341,25.78067,25.75613,25.82316,26.15337,25.4587,24.66009,25.31734
JANJIKNC_00563 putative protein,23.06283,23.3765,23.59844,18.89664,19.51958,22.5595,22.89045,23.07568,23.04602,22.71104,22.67126,23.05338,22.68708,22.62805,22.84974
JANJIKNC_00565 3-oxoacyl-[acyl-carrier-protein] reductase FabG1,22.30246,21.88673,21.70759,21.80798,20.75155,21.58738,22.29067,22.36314,22.37719,19.5383,21.79166,20.84434,19.31469,19.08813,21.33604
JANJIKNC_00566 Enoyl-[acyl-carrier-protein] reductase [NADH],23.40002,23.25839,23.43822,23.45889,23.06838,23.40289,23.55929,23.54581,24.22486,23.78606,23.3761,23.85481,23.85481,23.38271,23.77092
JANJIKNC_00570 putative protein,20.94378,21.26247,20.78532,22.05056,22.20607,23.5297,22.28619,22.38303,20.7021,20.69243,18.9766,20.50402,21.94653,21.81812,21.29283
JANJIKNC_00572 putative methylmalonyl-CoA mutase small subunit,21.04434,21.25788,21.24255,19.4903,19.75351,20.32553,22.45726,22.41664,22.25888,21.83098,21.53588,21.32268,18.87793,21.14576,19.95461
JANJIKNC_00573 putative methylmalonyl-CoA mutase large subunit,18.80435,18.80872,18.39877,19.3902,19.49332,19.56543,20.90859,20.7554,20.56895,18.98761,19.59091,19.82955,18.86875,20.02907,19.28661
JANJIKNC_00574 putative GTPase,20.34006,18.56863,19.29268,19.69169,20.04134,18.96655,20.37475,20.02147,20.449,19.15601,20.42943,19.49471,19.94072,18.94114,18.93774
JANJIKNC_00575 hypothetical protein,20.02513,19.84158,18.62211,19.19758,20.16355,19.18002,21.08965,20.92085,21.38495,20.37654,20.12326,19.68619,18.83563,19.01472,20.35628
JANJIKNC_00600 hypothetical protein,18.44463,18.63865,18.80218,19.71977,20.38717,19.03869,18.40653,17.81828,17.14778,19.37543,20.14766,19.13264,18.05855,19.24145,18.50958
JANJIKNC_00624 hypothetical protein,19.20345,18.52603,19.11734,18.99669,20.335,19.87569,21.10149,21.34397,21.19551,18.92557,19.2009,18.94574,18.52238,19.23321,19.32992
JANJIKNC_00634 Phosphoribosyl isomerase A,22.75664,22.32584,22.06441,21.69855,19.55977,21.08382,22.1046,21.73318,22.91496,21.68804,22.75794,18.71494,21.74755,22.26708,21.63976
JANJIKNC_00644 Putative peroxiredoxin,21.56579,21.36645,21.62355,21.43777,21.22317,21.1553,22.73934,22.29872,22.66323,21.52774,21.87635,21.4314,21.78967,21.89881,21.39629
JANJIKNC_00647 Indole-3-glycerol phosphate synthase,22.63894,22.30791,22.73511,21.81652,20.11739,21.32119,22.83013,22.37518,23.49607,21.65648,22.51475,22.10252,23.02646,22.90839,22.76632
JANJIKNC_00649 Tryptophan synthase alpha chain,22.19877,21.83738,22.21617,22.48151,21.20878,22.33571,22.43545,22.36076,22.72837,22.4287,22.39074,22.63498,23.00383,22.61646,22.98108
JANJIKNC_00655 Pyruvate kinase,21.46334,18.92527,21.20735,19.95487,20.87182,19.51091,21.46558,21.98311,21.37103,19.84793,19.77755,19.65234,19.46437,21.22016,21.06737
JANJIKNC_00663 Putative ABC transporter arginine-binding protein 2,17.71173,19.34064,18.70636,19.78587,20.32637,19.08132,19.80033,19.73244,18.64692,20.12889,19.49664,20.04539,19.18881,19.56342,18.94537
JANJIKNC_00665 Glutamine transport ATP-binding protein GlnQ,20.38121,20.12755,20.75132,20.16925,20.11699,20.0675,18.78247,17.71784,17.5872,19.11553,19.47989,20.22739,21.24447,20.80617,20.81363
JANJIKNC_00672 hypothetical protein,20.0036,19.65417,20.16632,21.12868,21.46428,21.35692,20.48414,20.45212,19.80879,20.48758,20.51162,19.30216,20.20801,20.85293,20.8278
JANJIKNC_00682 putative glycosyltransferase,22.80501,22.94648,23.03917,21.51249,20.63018,20.62203,20.48139,19.68724,19.81251,22.42703,22.13374,22.90733,23.24605,22.78169,22.95054
"JANJIKNC_00686 8-demethyl-8-(2,3-dimethoxy-alpha-L-rhamnosyl)-tetracenomycin-C 4-O-methyltransferase",19.82968,19.22621,19.90985,19.21113,20.50743,19.97065,18.99477,19.28942,19.64621,19.70274,19.91786,19.5457,19.02991,18.71854,18.87845
JANJIKNC_00687 putative glycosyltransferase,20.03066,19.6173,19.98537,18.54108,21.02864,19.5598,19.49759,18.98826,18.11671,19.11729,19.60926,20.38785,21.28127,20.99224,21.21656
JANJIKNC_00694 putative transcriptional regulatory protein pdtaR,22.5799,21.95195,22.55885,22.36786,20.04639,19.55291,21.62118,21.84892,21.64601,19.28526,21.94299,20.19567,21.61984,19.14352,19.245
"JANJIKNC_00695 Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein",21.73053,21.92031,21.70641,19.87489,20.88589,22.01648,22.35251,22.6015,20.93236,19.38479,21.79769,21.49473,22.28076,21.70071,22.27949
JANJIKNC_00701 hypothetical protein,20.56235,20.02621,20.95262,20.44546,20.63253,19.13238,20.92078,20.94999,21.22929,20.73303,19.7213,19.84901,20.33112,19.22771,18.29453
JANJIKNC_00706 hypothetical protein,20.20872,20.28263,19.82131,22.75992,21.91867,23.25854,20.01672,20.62578,18.60034,19.7718,19.11201,20.14174,20.56384,21.95699,21.91962
"JANJIKNC_00724 4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase",18.68473,18.03875,19.93149,19.64596,19.49903,20.32096,21.80385,22.10958,22.21045,18.62039,20.01772,19.88019,21.65744,20.46457,21.61135
JANJIKNC_00746 Putative S-adenosyl-L-methionine-dependent methyltransferase,20.44364,21.37682,20.92723,20.07996,20.33269,21.04374,21.52243,21.07666,21.67124,19.45577,19.90943,21.91203,21.99597,21.37449,22.06986
JANJIKNC_00774 hypothetical protein,18.88242,19.7275,18.63173,19.2401,20.06154,19.87831,21.13896,20.71616,20.2214,20.01229,19.89218,19.559,19.62613,19.36573,21.08589
JANJIKNC_00790 putative protein,20.00003,20.32113,19.97183,20.8768,21.41767,22.37457,22.23801,21.90194,20.41349,20.67418,20.01011,19.53367,20.14495,20.49424,21.1934
JANJIKNC_00794 Catalase-peroxidase 2,18.59935,18.54503,20.1486,21.13571,20.39365,21.38153,20.66536,21.08492,20.25546,19.9015,18.78081,19.41808,19.77667,19.49953,19.31698
JANJIKNC_00796 FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,19.00282,18.7191,17.73444,20.17041,20.33029,20.49756,21.96328,22.06599,22.17194,19.5898,18.70458,20.20269,18.86258,19.57003,18.91566
JANJIKNC_00797 Magnesium-protoporphyrin O-methyltransferase,20.66405,20.42368,20.51326,19.73354,21.35001,18.84968,20.69804,20.0036,20.95879,19.17056,20.93654,21.11076,20.89482,21.87098,21.26471
JANJIKNC_00799 Epimerase family protein,19.91422,19.49123,19.66366,18.81246,20.02849,19.00152,18.89658,19.07859,17.35938,19.56151,19.64198,20.06553,19.13665,20.13583,20.0258
JANJIKNC_00824 Thiol peroxidase,26.60498,25.85201,26.56779,25.57782,24.88916,25.37428,25.94438,25.94065,26.37804,24.99101,25.46058,23.79986,25.22637,25.75226,25.46201
JANJIKNC_00838 hypothetical protein;JANJIKNC_06316 hypothetical protein,21.63551,21.1496,21.48817,21.07437,20.99783,20.18204,22.25742,22.39812,22.79624,21.42245,22.15573,18.88754,22.07424,21.85692,21.79875
JANJIKNC_00846 hypothetical protein,23.40145,24.36192,23.96261,21.5382,20.65101,20.59814,21.69528,20.91714,19.43245,20.99307,20.50154,21.65189,22.52042,21.75499,22.07042
JANJIKNC_00851 hypothetical protein,22.18389,23.64471,22.39202,21.07568,20.36421,21.60991,21.0818,21.2558,20.24714,20.23234,19.66463,19.68678,20.77435,19.83777,18.8913
JANJIKNC_00852 hypothetical protein,21.51485,22.1438,21.7613,19.49752,20.84421,19.76374,19.27742,18.95003,18.78318,19.17659,19.43358,19.64246,19.10275,20.85498,19.06187
JANJIKNC_00917 hypothetical protein,21.99955,21.81445,22.16251,20.18822,19.73702,20.25707,19.95631,20.02608,19.44334,20.93474,21.48237,21.47704,21.0474,21.31932,20.81222
JANJIKNC_00937 HTH-type transcriptional repressor NsrR,18.06692,17.84804,20.05534,19.37833,20.9656,19.88579,20.64526,20.1801,20.73793,20.00988,18.89132,20.14011,19.45635,20.08925,19.95844
JANJIKNC_00938 Flavohemoprotein,18.54075,18.64333,18.76055,19.26556,20.11401,19.29523,23.32992,23.23996,23.66047,19.45543,19.06069,19.86159,18.53055,19.08287,18.23952
JANJIKNC_00943 (R)-specific enoyl-CoA hydratase,18.32247,19.42612,18.75372,19.79346,19.86278,19.48697,22.05159,22.39833,23.15977,19.10978,18.98914,19.61889,21.91474,22.98574,22.31252
JANJIKNC_00944 hypothetical protein,19.14009,17.54747,17.67612,20.01896,20.10088,19.00895,20.53355,20.49921,19.10224,19.4381,19.18477,19.56175,19.50635,19.87161,19.2697
JANJIKNC_00946 Protein translocase subunit SecE,18.69059,17.99162,18.54915,18.25397,19.76506,18.72622,19.5921,19.15232,18.10021,19.67585,19.41102,19.81639,18.73925,19.76962,20.77558
JANJIKNC_00947 Transcription termination/antitermination protein NusG,19.31388,18.86592,20.48237,20.40822,19.75341,19.32025,21.10053,21.64601,21.13671,19.85045,19.37731,20.00476,20.62854,18.89142,20.44405
JANJIKNC_00948 50S ribosomal protein L11,22.54357,22.62272,22.93,22.59789,20.48005,22.40049,23.19894,23.1574,23.51111,22.27904,21.88051,22.5368,22.16653,21.0596,22.28788
JANJIKNC_00949 50S ribosomal protein L1,24.04335,23.8892,23.99783,22.92628,22.43206,21.79903,23.77223,23.87117,24.46837,23.54144,23.7452,23.64009,23.53908,23.79313,23.07171
JANJIKNC_00952 S-adenosylmethionine-dependent methyltransferase UmaA,21.32652,21.14158,22.19346,20.94492,20.57733,21.36517,20.84644,21.51778,20.83854,19.31037,19.67787,19.8549,19.56842,18.4891,20.23316
JANJIKNC_00955 putative protein,21.786,22.0431,21.79241,21.13352,21.34596,20.81589,21.15345,20.91882,21.02324,19.49804,21.09436,21.11858,21.75674,21.73859,21.77177
JANJIKNC_00968 50S ribosomal protein L10,24.8386,24.64845,24.87938,25.5578,25.50897,25.19269,25.93668,25.76752,26.104,25.13108,25.05051,25.28397,25.24985,25.16069,25.38522
JANJIKNC_00969 50S ribosomal protein L7/L12,22.02861,22.08291,22.1195,22.10021,22.3268,21.22894,23.45136,23.23825,23.93265,21.86053,21.86782,22.05092,21.7162,21.72205,21.89049
JANJIKNC_00970 putative ribonucleotide transport ATP-binding protein mkl,23.20529,23.42381,23.20626,24.21356,24.42156,24.85614,23.88967,24.38851,22.68974,23.06304,23.05265,23.65545,23.58233,23.58015,23.47073
JANJIKNC_00971 DNA-directed RNA polymerase subunit beta,22.75144,23.905,22.91727,24.01572,24.27682,24.79694,23.98598,24.59997,23.42214,22.98458,19.1824,22.34085,23.06001,23.40158,23.02132
