Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC
BDBJPGFE_00171 D-hydantoinase/dihydropyrimidinase,25.93612,26.43546,26.42373,27.11862,25.24715,26.23044,26.69777,27.39999,27.0425,24.25772,26.71109,26.44618,25.48513,26.71385,26.87103
"BDBJPGFE_00177 GTP 3,8-cyclase",26.15769,26.69272,26.43816,25.41885,24.46307,25.59521,23.93674,24.23602,23.71006,24.67713,24.78205,23.28492,25.08386,24.99123,24.01608
BDBJPGFE_00183 Ferredoxin,25.10897,25.05544,25.39408,25.31929,26.61255,25.22868,24.38354,24.33594,24.8828,24.46447,24.13817,24.45873,27.14963,24.02141,24.30014
"BDBJPGFE_00186 Formate dehydrogenase, nitrate-inducible, major subunit",26.48537,26.31602,26.39434,28.59377,28.45329,28.03842,27.42886,27.32757,27.77888,27.46373,26.61919,26.83099,26.57183,26.74394,26.50092
BDBJPGFE_00190 Molybdenum cofactor biosynthesis protein B,27.42614,27.11347,26.99927,25.79642,24.5568,25.91531,26.45205,26.42752,26.95416,26.80341,26.61512,26.4523,26.21684,26.81617,26.67667
BDBJPGFE_00196 Molybdopterin molybdenumtransferase,24.46793,24.56192,24.97123,24.90011,24.61335,25.42144,23.35857,24.20503,24.15257,24.88795,23.93349,24.93116,25.32563,24.80882,25.04692
BDBJPGFE_00199 Response regulator PleD,26.77593,26.74021,26.9619,23.41398,25.57121,25.23762,23.66734,24.83533,23.98061,25.05402,25.05303,24.8013,26.55178,24.21125,24.25656
BDBJPGFE_00204 Frizzy aggregation protein FrzCD,28.73121,28.7956,28.18886,24.60213,24.89878,25.15487,25.03553,24.87839,24.56941,26.19858,25.25861,26.42798,26.67825,25.19212,26.75761
BDBJPGFE_00205 Putative acid--amine ligase YjfC,23.4215,23.54321,23.99619,23.95319,25.78683,26.39068,24.88091,25.08568,24.52487,24.44665,25.14543,23.48122,25.58362,23.69272,25.35509
BDBJPGFE_00206 hypothetical protein,27.06764,27.35792,27.13985,26.57375,26.56483,24.33221,26.23122,24.87947,26.61807,26.69139,26.80132,27.20023,26.70293,26.79774,26.48264
BDBJPGFE_00209 hypothetical protein,29.3365,29.42109,29.16476,28.6635,28.35934,28.3709,28.47425,28.3995,28.33803,28.80922,28.63118,28.55724,28.42302,28.79216,28.75933
BDBJPGFE_00212 hypothetical protein,26.9927,27.25476,27.00367,29.09459,29.10375,29.04432,28.87038,28.9343,28.95285,28.94042,28.91715,28.92255,28.95577,28.79705,28.90916
BDBJPGFE_00217 hypothetical protein,26.91182,26.06821,24.27972,30.35993,30.3911,29.89735,29.0762,29.04768,29.28454,28.55014,28.67506,28.74259,28.48074,27.8783,28.57452
BDBJPGFE_00218 hypothetical protein,23.11815,23.24788,23.92814,28.31393,27.8518,28.06666,23.20042,27.71365,27.1849,27.03549,24.74293,23.6309,24.67358,24.02223,25.56355
BDBJPGFE_00219 hypothetical protein,25.37209,25.88173,25.20576,28.92796,28.82696,29.05768,28.5716,28.21827,28.89585,27.306,27.51908,27.6102,27.57434,27.61856,27.67647
BDBJPGFE_00233 Methylthioribose kinase,26.33958,26.6133,26.4993,24.17809,24.61737,25.55556,25.48873,24.85805,23.8397,25.53795,24.47473,26.06599,25.0412,26.02684,23.60852
BDBJPGFE_00234 Acireductone dioxygenase,26.66153,26.29451,26.57615,25.13428,24.13849,24.62528,23.95971,23.44679,24.64985,25.72693,23.75375,24.89722,25.21639,27.01191,23.93891
BDBJPGFE_00235 Enolase-phosphatase E1,25.20374,24.65513,25.21379,24.14857,24.14272,25.39448,24.58046,24.62029,25.06454,24.57059,24.5253,24.30372,24.92819,24.46261,24.96865
BDBJPGFE_00236 Methylthioribulose-1-phosphate dehydratase,26.12132,25.51758,25.54106,24.20625,24.44152,24.20873,24.92934,24.28986,25.26137,24.92303,24.02875,25.39836,25.23689,24.70571,24.76035
BDBJPGFE_00240 ATP-dependent DNA helicase RecQ,24.03523,24.18155,24.81142,25.24236,25.3975,24.82724,24.66549,25.18985,24.71384,25.49745,24.41993,24.02124,24.1434,24.10864,23.22785
BDBJPGFE_00243 sn-glycerol-3-phosphate-binding periplasmic protein UgpB,24.29114,23.88288,24.12228,28.69979,27.90822,27.47421,27.03486,26.33753,27.09919,27.03559,26.84649,27.2129,26.38859,26.32344,26.39963
BDBJPGFE_00252 Succinyl-CoA--L-malate CoA-transferase beta subunit,29.17112,29.353,29.19157,24.98383,24.37346,24.59196,24.22933,25.38838,23.9264,23.99677,24.32842,24.63397,25.18873,24.66866,25.29839
BDBJPGFE_00254 Solute-binding protein,29.95851,30.00718,30.26696,25.81375,24.4443,24.96979,28.18929,28.33833,28.26137,28.26861,28.06379,28.07454,28.0266,28.4122,28.22011
"BDBJPGFE_00257 4-hydroxy-2-oxo-heptane-1,7-dioate aldolase",26.17604,25.72985,25.96954,24.39213,24.61771,26.0591,24.80528,25.2813,24.88788,23.40442,25.15546,24.07214,25.82828,23.74973,23.53883
BDBJPGFE_00258 putative FAD-linked oxidoreductase,25.38621,25.53154,25.18586,24.62466,25.89125,25.83257,25.49169,24.38085,23.83724,23.97656,24.54392,23.23016,26.18171,25.40663,24.00693
BDBJPGFE_00259 L-fuconate dehydratase,27.82584,28.27333,27.83954,27.78999,28.25629,28.2584,28.28069,28.9859,28.1648,28.53442,28.42658,27.98027,27.72345,28.20163,28.60138
BDBJPGFE_00260 hypothetical protein,26.05223,26.42792,26.76281,26.63672,27.37194,27.99636,26.83038,25.14165,26.93584,27.02348,26.81458,26.59292,25.04703,27.12021,25.12723
BDBJPGFE_00264 Sialic acid-binding periplasmic protein SiaP,24.30258,24.52303,24.06494,23.89085,25.63125,25.71591,28.73538,29.25002,28.79761,29.13971,28.64013,28.63093,28.68204,28.82077,28.89421
BDBJPGFE_00268 HTH-type transcriptional repressor NanR,26.45858,27.07531,26.1209,24.80747,24.96108,24.95805,26.67761,26.43705,27.25169,27.08172,24.04775,24.65367,24.03561,24.72705,24.27088
BDBJPGFE_00269 Solute-binding protein,28.95485,29.18542,29.34268,31.00872,31.50123,31.29225,31.64026,32.12318,31.98159,31.37046,31.5802,31.26181,31.70033,31.26288,31.40543
BDBJPGFE_00273 L-arabinose 1-dehydrogenase (NAD(P)(+)),25.62257,25.6345,25.43094,24.33942,25.41555,25.66169,25.30074,24.27043,26.47166,23.91759,25.98858,25.04102,25.04436,24.21229,23.82961
BDBJPGFE_00274 2-hydroxy-3-oxopropionate reductase,25.72601,25.97152,25.66022,24.1279,25.74124,25.74206,24.97678,24.49459,23.56602,24.09563,25.57586,24.33431,24.68836,24.53246,24.8238
BDBJPGFE_00275 Hydroxycarboxylate dehydrogenase B,25.1524,25.63896,24.94306,24.90074,25.00583,24.79696,24.18196,24.61214,25.31744,23.77307,24.55413,24.37099,25.25607,24.64444,25.12506
BDBJPGFE_00278 Galactarate dehydratase (L-threo-forming),24.1776,23.97176,24.14313,24.67524,24.69842,26.63695,25.09233,24.63772,24.72873,24.78039,25.25712,24.99063,24.50198,23.97618,25.64303
BDBJPGFE_00280 hypothetical protein,26.05567,26.01648,26.08261,26.43871,28.47421,28.18731,27.66445,27.73873,25.0504,27.15228,27.50567,27.05113,25.20962,27.5291,26.96257
BDBJPGFE_00283 Alpha-ketoglutaric semialdehyde dehydrogenase,29.47464,29.51738,29.03842,26.93225,26.02561,24.84311,28.17346,28.7198,28.93952,28.01553,27.97328,27.9894,25.47884,28.26879,28.31885
BDBJPGFE_00284 hypothetical protein,26.0984,26.14923,26.19445,25.12498,24.35233,26.1161,25.28235,25.44954,25.75888,25.15318,25.25021,25.56779,24.17144,25.98644,24.62422
BDBJPGFE_00289 HTH-type transcriptional regulator GbpR,24.47228,24.6216,24.77178,25.6797,25.39434,24.86076,25.38443,24.44651,24.23748,23.53691,24.95571,25.51844,25.47434,25.22136,23.74023
BDBJPGFE_00290 Aldose 1-epimerase,26.8399,26.20389,26.96444,27.84068,27.62652,27.24672,27.26928,27.79098,27.1211,27.29815,27.00517,26.93472,25.35745,26.78706,25.00372
BDBJPGFE_00291 L-arabinose-binding periplasmic protein,27.61175,28.09194,27.6725,27.55186,27.3937,24.55991,27.97328,27.58205,27.89954,27.63229,27.17083,27.24708,25.61707,24.80058,24.71721
BDBJPGFE_00292 Arabinose import ATP-binding protein AraG,25.69168,26.04009,25.75924,25.3467,24.19643,25.04128,25.65082,24.50539,24.98048,24.41777,24.81448,23.43678,25.53977,24.32547,25.53611
BDBJPGFE_00293 Ribose import permease protein RbsC,24.53326,24.63445,24.31631,23.87329,24.11296,25.84963,24.65081,24.72495,24.19601,24.62242,24.25906,23.8751,26.12724,24.40278,24.43197
BDBJPGFE_00294 L-arabonate dehydratase;BDBJPGFE_00288 L-arabonate dehydratase,24.94909,25.52943,25.25375,24.2895,24.9416,24.99168,23.96781,23.2833,25.04465,23.33403,24.25613,24.46776,25.27533,24.08338,23.23485
BDBJPGFE_00301 Ribose import binding protein RbsB,22.76005,24.60464,23.8674,28.48643,28.09798,27.95787,25.9248,27.62617,27.4642,24.3449,23.8617,27.49526,24.24446,25.37427,27.16634
BDBJPGFE_00326 UDP-glucose 6-dehydrogenase,29.03034,29.22244,28.42834,27.84188,27.93365,27.54023,27.67013,28.2014,28.06969,28.28083,27.7978,27.58706,27.93568,28.0463,28.14044
BDBJPGFE_00327 Flagellar hook-associated protein 2,27.09053,27.24382,27.30835,25.51678,24.46045,27.29544,28.16514,29.01065,28.05683,28.24086,27.01606,28.06188,29.99846,28.12947,28.23457
BDBJPGFE_00329 Flagellin,36.48804,36.28226,36.3447,34.29714,33.86931,33.58956,36.40477,36.40615,36.2886,36.00853,36.40835,36.4133,36.22482,36.21393,36.42154
BDBJPGFE_00331 Acylphosphatase,26.27193,26.22426,26.06956,24.77516,24.85328,24.19704,24.09762,24.19041,23.66483,24.67533,24.94602,25.04851,25.30431,24.39052,25.11204
BDBJPGFE_00333 hypothetical protein,26.31162,25.86389,26.25632,24.48881,24.29161,24.63347,25.47859,25.08708,25.05129,23.55783,26.63006,24.66728,24.99529,23.93674,24.34157
BDBJPGFE_00334 putative amino-acid-binding protein YxeM,30.88802,30.05582,30.81398,30.70281,30.32625,30.69826,30.06741,30.32249,30.19155,31.11663,30.42362,30.27542,30.2911,30.71686,30.65113
BDBJPGFE_00340 30S ribosomal protein S20,29.4634,29.80792,29.73391,28.38286,28.48838,27.84721,28.97402,28.98587,29.20739,28.68722,29.56531,29.84023,29.15204,29.5616,29.52283
BDBJPGFE_00342 Riboflavin biosynthesis protein RibF,27.15702,27.26042,27.38261,24.45527,24.17104,25.00314,23.78498,24.30839,24.73691,23.99182,25.03902,25.53598,24.67321,26.0638,24.2237
BDBJPGFE_00343 Isoleucine--tRNA ligase,30.58531,30.63374,30.55956,29.78588,29.37169,29.46935,29.63817,29.43958,29.6253,29.90713,29.70647,29.90153,29.21662,30.04947,29.92153
BDBJPGFE_00346 4-hydroxy-3-methylbut-2-enyl diphosphate reductase,27.65451,27.30643,27.48293,24.68289,24.99885,25.61713,24.23739,24.9647,25.78776,25.18684,24.75254,24.27657,24.26062,24.47513,24.67578
BDBJPGFE_00351 Tryptophan--tRNA ligase,28.60509,28.44975,28.3748,27.51991,26.45825,26.21519,27.26651,26.22376,26.97978,26.67492,26.73647,26.31581,24.46208,25.51391,26.12325
BDBJPGFE_00352 Major exported protein,28.41026,28.15195,28.31073,27.78263,27.61484,26.60371,28.15306,28.27742,28.25278,29.02815,28.28074,27.67539,27.82972,28.71676,28.73337
BDBJPGFE_00354 hypothetical protein,28.06851,27.88064,27.62471,28.08613,27.80501,26.63989,28.14506,27.8759,28.2544,27.86938,27.87643,27.89937,27.91022,27.70365,28.05853
BDBJPGFE_00362 Protein ClpV1,24.7334,24.77972,24.78551,23.71978,26.15862,24.97726,24.52142,25.24815,24.62527,23.8435,24.89979,24.35795,26.1694,25.092,25.29416
BDBJPGFE_00366 hypothetical protein,25.39548,25.37921,25.1763,23.53731,24.83775,24.23698,24.63723,25.69241,23.52813,24.63562,23.65572,25.09157,24.79558,24.94904,24.83537
BDBJPGFE_00372 hypothetical protein,26.47035,26.7474,26.70899,25.23397,25.21093,24.7629,24.83543,24.04638,24.71338,25.14771,24.45191,23.81576,25.53663,23.56215,23.5444
BDBJPGFE_00375 NAD-dependent malic enzyme,30.73876,30.8696,30.92776,30.78004,30.8344,31.08125,30.15943,30.3103,30.36087,30.32614,30.3317,30.19072,29.94126,30.47827,30.43321
BDBJPGFE_00376 Aconitate hydratase A,32.30889,32.3593,32.03774,32.00246,32.38628,32.02647,32.19762,32.11948,32.13391,31.83966,31.88976,31.85456,31.58329,31.91947,31.93266
BDBJPGFE_00377 Glucosaminate ammonia-lyase,26.10191,26.00005,25.92674,24.62401,24.75697,25.05005,25.12484,24.73313,24.19531,24.64087,24.59556,25.62695,25.01457,25.09267,26.42507
BDBJPGFE_00381 Glutamine-dependent NAD(+) synthetase,27.17817,28.0748,26.51483,26.48832,26.58792,26.41622,26.73841,26.92275,27.04781,26.81287,26.64293,26.69352,26.68606,26.96025,27.06876
BDBJPGFE_00386 Outer membrane protein assembly factor BamD,29.79826,29.49436,29.48658,28.63218,28.42646,28.15919,28.92235,28.41268,28.71976,28.35871,28.46115,28.54933,28.43631,28.86788,28.77947
BDBJPGFE_00389 Chaperone protein ClpB,30.95795,31.14212,30.78644,30.77674,30.75788,30.51559,30.95102,30.74367,30.91399,30.88045,31.17159,31.17724,30.92089,30.84176,30.97261
BDBJPGFE_00391 Acetolactate synthase isozyme 3 large subunit,31.50304,31.71276,31.42717,30.95954,30.98352,30.79606,32.71157,32.59206,32.62593,32.51077,32.70817,32.78498,32.39578,32.87427,32.55645
BDBJPGFE_00392 Acetolactate synthase isozyme 3 small subunit,28.70553,28.57174,28.61414,27.86207,27.9968,27.93377,29.5977,29.49796,29.49873,29.81728,29.8116,29.78188,29.23622,29.95477,29.82934
BDBJPGFE_00393 hypothetical protein,25.0357,24.60496,24.8962,24.4664,24.86447,25.50294,24.37276,25.61629,23.80004,24.62855,22.62938,24.35808,24.81783,24.18073,24.77063
BDBJPGFE_00402 Solute-binding protein,29.82958,29.36705,29.3943,28.92533,28.45215,28.4527,29.20576,29.05884,28.95108,29.52425,29.48959,29.11036,28.97199,29.62942,29.79258
BDBJPGFE_00405 Solute-binding protein,27.22894,27.41788,27.36093,27.42694,26.64471,27.81726,27.83629,28.08411,28.13261,27.9794,28.01818,27.77925,27.87531,27.58864,27.99685
BDBJPGFE_00419 NADP-reducing hydrogenase subunit HndC,26.63713,26.69525,26.10703,23.44105,24.83314,24.28809,24.28978,23.58427,25.18822,24.32163,25.12938,23.95436,25.10313,24.90727,24.64098
BDBJPGFE_00420 Putative formate dehydrogenase,25.80909,25.26234,24.8349,24.03212,24.31414,25.1223,23.66758,24.02957,24.31747,25.64019,24.43349,24.6427,26.70838,23.68603,24.09194
BDBJPGFE_00423 Methyl-accepting chemotaxis protein II,28.66003,28.73551,28.29632,26.28014,25.12474,26.10107,26.88542,27.27017,27.13536,27.77058,27.45975,27.4642,27.21085,27.26874,27.42174
BDBJPGFE_00432 Urease subunit alpha 1,26.14651,25.84828,25.6238,25.74768,24.66733,25.01474,25.56576,25.88721,23.64345,24.17026,25.71356,25.55491,24.79723,23.92796,24.85477
BDBJPGFE_00437 hypothetical protein,24.73557,24.74617,25.1605,24.34109,25.21641,24.30053,25.95609,24.75043,24.78177,22.48645,25.00047,24.28525,25.60464,24.35562,24.82084
BDBJPGFE_00439 Ferric enterobactin receptor,25.65665,25.10617,25.50182,26.47621,26.34278,24.28,27.30817,27.39354,27.48201,26.90908,27.59128,27.09617,26.56876,27.09144,27.46006
BDBJPGFE_00444 Periplasmic zinc-binding protein TroA,26.25895,26.27769,26.46373,25.03992,25.06227,24.43905,24.24747,24.8392,24.37855,25.38494,24.66047,24.43729,25.09616,24.74792,23.85258
BDBJPGFE_00445 High-affinity zinc uptake system ATP-binding protein ZnuC,24.46438,24.43708,24.79308,24.79779,24.33891,25.09822,24.05398,24.95228,25.4211,24.13707,23.06187,24.33146,26.62806,25.80252,24.50287
BDBJPGFE_00453 hypothetical protein,23.98233,24.73323,23.33856,25.21812,24.18402,25.5342,25.69208,25.85327,25.6871,25.35689,25.50158,25.27014,25.74953,24.80124,25.27757
BDBJPGFE_00455 hypothetical protein,29.60952,29.42802,29.57969,30.37658,30.50853,30.66272,30.28008,30.74551,30.23774,30.80647,30.56202,30.45621,30.47817,30.83658,30.78363
BDBJPGFE_00463 Flagellin,27.70127,27.67283,27.7775,26.31872,24.25537,25.5785,27.77241,27.66878,27.42374,27.33202,27.98207,27.84494,27.86756,27.40235,27.59505
BDBJPGFE_00465 putative oxidoreductase,26.74791,26.44288,26.66939,24.50529,24.9176,26.07298,24.28439,24.89387,24.83681,24.02658,25.36803,24.09445,25.09713,24.35044,25.63642
BDBJPGFE_00466 Moderate conductance mechanosensitive channel YbiO,28.64113,28.60318,28.12608,28.1456,27.8828,27.46014,28.51585,28.08801,28.34744,27.6731,27.93669,27.88594,28.13985,27.57239,27.97443
BDBJPGFE_00468 Transcriptional repressor IclR,25.21234,25.39503,25.23706,23.76759,25.4688,25.50997,24.72017,26.45295,26.31143,25.89511,26.51643,26.63381,25.98976,26.4113,26.3505
"BDBJPGFE_00471 Quercetin 2,3-dioxygenase",25.40708,25.14243,25.46675,25.07333,24.80117,24.54727,25.15558,24.05348,24.75677,23.68953,23.55039,23.07551,24.74967,23.44771,24.7306
BDBJPGFE_00472 D-3-phosphoglycerate dehydrogenase,30.50237,30.59682,30.43231,30.03879,29.97787,29.98359,30.05956,29.97131,30.01239,30.11942,29.89332,29.96664,29.98888,30.24104,30.1278
BDBJPGFE_00474 Farnesyl diphosphate synthase,26.21795,26.26367,26.17125,23.8975,25.02584,25.33148,23.32904,23.28045,24.26588,24.92264,24.97443,23.96738,25.33701,25.62277,24.6002
BDBJPGFE_00475 1-deoxy-D-xylulose-5-phosphate synthase,26.47684,26.91752,26.25104,26.24023,25.51105,25.4323,26.01672,25.07214,25.63486,25.50969,24.75228,26.09704,25.55215,26.03901,25.762
BDBJPGFE_00476 Co-chaperone protein DjlA,26.79823,27.32869,26.96069,24.41009,24.59939,25.29266,24.5994,24.00308,25.1331,23.45374,25.12617,24.8336,25.05322,24.64661,25.35376
BDBJPGFE_00479 Disulfide-bond oxidoreductase YfcG,28.64058,27.99954,28.61905,29.23135,28.6797,28.7612,29.23945,29.05015,28.90836,29.1227,28.9637,29.14654,28.88046,29.03486,29.03556
BDBJPGFE_00480 Protein phosphatase CheZ,25.87502,26.2569,26.29946,24.46365,25.07691,24.97651,25.88828,25.96148,26.01436,26.0818,25.76415,25.64636,25.43329,25.53745,25.51614
BDBJPGFE_00483 Uroporphyrinogen decarboxylase,27.91861,27.26589,27.42478,26.21995,25.38456,25.08017,24.94609,24.43627,26.17053,26.63256,25.38864,26.30805,25.3275,25.27329,24.32859
BDBJPGFE_00484 Polyamine aminopropyltransferase,30.16459,30.38618,30.16507,27.22545,24.87488,24.70388,26.9149,27.80193,25.92789,27.39313,24.54428,26.68512,25.56194,27.07633,26.94604
BDBJPGFE_00485 Putative amino-acid ABC transporter-binding protein YhdW,31.65126,32.02677,31.8012,33.61193,33.60089,33.93886,34.39599,34.76342,34.39764,33.92539,33.92362,33.95237,33.89672,33.7974,33.97699
BDBJPGFE_00486 putative glutamine ABC transporter permease protein GlnM,26.64897,26.77969,26.64828,27.81127,25.37205,24.63213,27.98832,27.97918,28.08451,28.0134,27.91388,27.93961,25.17365,27.81115,24.58582
BDBJPGFE_00487 Inner membrane amino-acid ABC transporter permease protein YhdY,22.89988,24.98932,24.45808,27.57001,26.79054,26.40644,27.32852,26.97005,27.17389,26.46473,27.18073,27.37551,26.13205,26.70794,27.19967
BDBJPGFE_00488 Glutamine transport ATP-binding protein GlnQ,27.20583,27.05352,27.69232,28.53723,28.15267,27.9818,27.68083,27.80199,28.33142,28.38113,27.77994,28.53649,27.44024,28.21299,27.60336
BDBJPGFE_00491 Glucosyl-3-phosphoglycerate phosphatase,24.6468,24.33627,24.35097,24.29691,25.12154,25.05516,25.32003,26.34777,23.98184,24.31899,23.99745,24.26932,24.00885,25.79419,25.42111
BDBJPGFE_00492 putative phosphite transport system-binding protein PtxB,29.55298,29.23651,29.53523,25.35699,24.64845,25.23222,29.49389,29.31598,29.49312,29.43784,29.59955,29.33383,29.02733,29.40815,29.41296
BDBJPGFE_00493 Phosphate-import ATP-binding protein PhnC,26.74535,26.72195,26.60414,25.30532,24.92201,24.25192,26.55763,24.26747,25.74332,26.53726,26.71869,26.18027,24.76938,26.38344,26.0654
BDBJPGFE_00496 hypothetical protein,26.29192,27.0221,26.77077,27.38673,27.26186,26.7753,27.77587,28.14336,27.65424,27.77493,27.48162,27.60675,27.85946,27.26069,27.72507
BDBJPGFE_00497 Methyl-accepting chemotaxis protein McpA,27.16605,26.97169,26.68378,25.72757,23.82011,24.5295,27.04635,26.78357,27.02559,27.54694,27.36895,27.09949,26.6599,27.1279,27.29448
BDBJPGFE_00498 Methyl-accepting chemotaxis protein McpU,27.26177,26.87267,26.48487,23.55764,24.58885,24.27221,24.9819,24.27456,25.47045,24.72773,25.10596,24.49755,24.73329,26.71175,24.8336
BDBJPGFE_00500 Ferredoxin--NADP reductase,29.87627,29.16773,29.86071,24.86743,24.53518,24.79324,25.6011,25.70946,24.20715,24.68346,25.00591,25.4946,24.67257,26.01735,25.45716
BDBJPGFE_00501 Nitrogen regulatory protein P-II 2,29.46902,29.36641,29.48625,28.81452,29.14557,29.49434,28.58771,28.90701,29.07564,28.83801,28.99361,28.73276,28.81418,29.11103,29.09283
BDBJPGFE_00504 putative protein YqiC,26.08517,26.37754,26.39284,25.57606,25.6158,24.8272,25.24692,25.18726,25.57398,25.27434,25.33787,25.17611,25.30096,25.51211,25.21045
BDBJPGFE_00505 Ferric aerobactin receptor,29.77302,29.68125,29.62918,31.82104,32.0855,31.53427,31.26383,31.29822,31.42086,30.87592,31.32378,31.30965,31.3046,31.0236,31.28046
BDBJPGFE_00513 Disulfide bond formation protein D,26.53359,26.22035,26.56632,25.79739,25.68993,25.624,25.61408,24.74832,25.39094,25.78684,26.02477,26.0513,25.20717,24.86065,24.59027
BDBJPGFE_00528 Quinone reductase,26.65322,26.49977,26.52832,25.41058,24.20556,25.70053,25.09564,24.95197,24.56686,24.39517,23.98252,24.12858,25.69124,26.20833,24.36594
BDBJPGFE_00529 hypothetical protein,24.64708,23.92266,22.91294,28.16595,29.01199,28.05915,24.73462,24.86326,27.18442,24.62831,27.15325,23.62684,24.44103,24.00212,24.03922
