Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P_mean,PhAc_mean,DBP_mean,DEHP_mean,ATBC_mean,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
JANJIKNC_00197 hypothetical protein,18.38788,18.85729,19.49804,19.84327,20.49334,19.12397,19.04426,19.2945,17.64519,19.81412,19.54283,20.70185,21.05391,21.01869,20.37475,0.007756018,0.019635131,0.005344973,0.02080884,0.029832358,18.91440333,19.82019333,18.66131667,20.0196,20.81578333,0.455016671,0.559281056,0.725736438,0.494973644,0.312188952,0.90579,-0.253086667,1.105196667,1.90138,-1.158876667,0.199406667,0.99559,0.150264377,0.697516224,0.080719727,0.00820242,,,,+,0.148169607,0.724917604,0.092838709,,,
JANJIKNC_00202 ESX-1 secretion-associated protein EspI,18.36559,20.62533,20.91692,20.196,20.30257,19.52369,20.15153,19.90768,20.36912,19.61528,19.24624,18.68303,20.60603,19.26011,21.02195,0.016113441,0.022356028,0.014924831,0.011640179,0.020807804,19.96928,20.00742,20.14277667,19.18151667,20.29603,1.140211207,0.344804607,0.188483746,0.383331317,0.751928652,0.03814,0.173496667,-0.787763333,0.32675,0.135356667,-0.825903333,0.28861,0.966054312,0.842246675,0.40679632,0.752130016,,,,,0.651653932,0.086167065,0.647586095,,,
JANJIKNC_00206 Transcriptional regulator YqjI,18.87727,18.80199,19.05793,19.61886,20.27069,19.47765,22.45819,23.28743,20.96198,19.88536,19.40113,19.02609,19.91113,19.52698,22.30064,0.007745237,0.019216033,0.063678422,0.01390037,0.025327032,18.91239667,19.78906667,22.23586667,19.43752667,20.57958333,0.107398737,0.345403959,0.962288998,0.351738322,1.227034323,0.87667,3.32347,0.52513,1.667186667,2.4468,-0.35154,0.790516667,0.026595351,0.008314409,0.11358506,0.128125734,+,+,,,0.027670624,0.370277583,0.429990848,+,,
JANJIKNC_00219 hypothetical protein,18.28342,19.77105,17.69935,19.22194,20.01546,21.26471,20.99479,20.99265,20.85163,19.1442,18.75735,20.15264,19.91088,17.98488,19.32136,0.006171065,0.024977237,0.026050203,0.013094793,0.008909819,18.58460667,20.16737,20.94635667,19.35139667,19.07237333,0.872169815,0.840846718,0.066987566,0.588164597,0.805756278,1.582763333,2.36175,0.76679,0.487766667,0.778986667,-0.815973333,-1.094996667,0.13837116,0.018805604,0.360862544,0.592442342,,+,,,0.261583019,0.323690609,0.254375693,,,
JANJIKNC_00234 Arsenical pump-driving ATPase,21.86537,21.94371,22.15295,21.75344,20.56747,21.04019,21.10169,21.59678,21.5616,21.25897,22.11994,22.05795,21.49385,19.63242,21.67211,0.065265835,0.048353172,0.036174204,0.072094202,0.032352743,21.98734333,21.12036667,21.42002333,21.81228667,20.93279333,0.121390458,0.487478159,0.225553381,0.392071584,0.92237818,-0.866976667,-0.56732,-0.175056667,-1.05455,0.299656667,0.69192,-0.187573333,0.0711596,0.035108553,0.578917354,0.184188441,,+,,,0.474263742,0.192822495,0.811826077,,,
JANJIKNC_00235 Putative ATPase,22.53747,22.62132,22.85893,22.03547,22.24792,22.11902,22.03268,22.30891,22.70318,22.25598,22.30134,22.58033,22.05384,21.82077,21.96317,0.104944742,0.097633791,0.068837495,0.106798038,0.06529721,22.67257333,22.13413667,22.34825667,22.37921667,21.94592667,0.136147741,0.087388542,0.275140791,0.143409233,0.095928465,-0.538436667,-0.324316667,-0.293356667,-0.726646667,0.21412,0.24508,-0.18821,0.009261801,0.209463605,0.10388551,0.003503466,+,,,+,0.353403488,0.107981654,0.109546131,,,
JANJIKNC_00237 Putative reactive intermediate deaminase TdcF,22.10284,21.92234,21.90139,19.83183,21.05689,21.31352,21.6985,21.47946,22.25572,20.85666,21.96804,19.7068,21.32262,22.21664,22.15159,0.064733297,0.036994835,0.047441992,0.036844005,0.063117703,21.97552333,20.73408,21.81122667,20.84383333,21.89695,0.090431837,0.646532307,0.326777573,0.923191918,0.406980005,-1.241443333,-0.164296667,-1.13169,-0.078573333,1.077146667,0.109753333,1.16287,0.054695973,0.53081795,0.159548355,0.803004177,,,,,0.103326183,0.897119712,0.097689987,,,
JANJIKNC_00239 CRP-like cAMP-activated global transcriptional regulator,27.35498,27.2615,27.49442,27.38179,26.61597,26.74522,27.23699,27.11227,26.79067,26.79054,26.91604,26.96389,27.70015,27.06897,27.806,2.723436937,2.682753232,1.787229706,2.434958265,3.121584465,27.3703,26.91432667,27.04664333,26.89015667,27.52504,0.095704261,0.334731601,0.188025761,0.07309818,0.325372545,-0.455973333,-0.323656667,-0.480143333,0.15474,0.132316667,-0.02417,0.610713333,0.137633365,0.095865625,0.004869793,0.553919818,,,+,,0.651483197,0.925330911,0.137962537,,,
JANJIKNC_00247 Acetyl-coenzyme A synthetase,23.00885,23.52826,23.05472,23.02909,19.70408,23.62667,24.328,24.68475,22.44427,19.47168,21.96818,21.76959,23.77233,23.77173,24.10141,0.150977464,0.096678196,0.190794092,0.043091796,0.249837481,23.19727667,22.11994667,23.81900667,21.06981667,23.88182333,0.234788542,1.725607966,0.982935507,1.132957811,0.155271414,-1.07733,0.62173,-2.12746,0.684546667,1.69906,-1.05013,1.761876667,0.43103661,0.433371722,0.060026067,0.026312533,,,,+,0.292916234,0.511669054,0.223782192,,,
JANJIKNC_00248 hypothetical protein,20.45683,20.06487,20.3483,19.15674,20.08061,19.48386,20.19496,18.24494,20.65552,20.54425,20.90073,20.81878,20.80183,21.10053,20.67917,0.020124942,0.016551713,0.010968842,0.034633861,0.030771712,20.29,19.57373667,19.69847333,20.75458667,20.86051,0.165241899,0.382485124,1.044859876,0.152446899,0.176953043,-0.716263333,-0.591526667,0.464586667,0.57051,0.124736667,1.18085,1.286773333,0.071891032,0.473306667,0.043138957,0.029038876,,,+,+,0.881712153,0.015401475,0.012466662,,+,+
JANJIKNC_00283 putative cold shock protein A,21.97726,21.99607,22.23841,22.49165,20.38302,19.61176,24.00607,23.71461,24.03909,22.41116,22.63834,21.71095,22.54137,22.26282,23.0551,0.069142111,0.03950551,0.204618014,0.097884464,0.104169283,22.07058,20.82881,23.91992333,22.25348333,22.61976333,0.118921923,1.217234063,0.145802958,0.394680885,0.328162598,-1.24177,1.849343333,0.182903333,0.549183333,3.091113333,1.424673333,1.790953333,0.224376611,0.000155315,0.564366363,0.090099942,,+,,,0.02346286,0.190483915,0.114924126,+,,
JANJIKNC_00292 hypothetical protein,18.97288,19.38519,18.27219,19.59027,19.87676,19.01948,19.45399,19.25898,19.43854,18.92614,19.26416,19.97265,18.27332,18.99235,18.83359,0.007556227,0.015678062,0.008819536,0.01342802,0.006881753,18.87675333,19.49550333,19.38383667,19.38765,18.69975333,0.45943625,0.356340465,0.088512018,0.436068137,0.308420952,0.61875,0.507083333,0.510896667,-0.177,-0.111666667,-0.107853333,-0.79575,0.206777681,0.200120935,0.317677332,0.67445844,,,,,0.689279235,0.799909205,0.07533978,,,
JANJIKNC_00309 Anti-sigma-F factor antagonist RsfB,18.7181,18.6639,18.21831,19.54516,20.41933,19.89819,19.8484,19.98008,20.50543,20.3096,20.17905,19.41771,18.76336,19.01902,17.7087,0.005956023,0.021546754,0.014602762,0.020088686,0.005979602,18.53343667,19.95422667,20.11130333,19.96878667,18.49702667,0.223924127,0.359071375,0.283827151,0.393297974,0.567118276,1.42079,1.577866667,1.43535,-0.03641,0.157076667,0.01456,-1.4572,0.008982843,0.003498991,0.010946125,0.936756186,+,+,+,,0.652820033,0.971010723,0.037287397,,,+
JANJIKNC_00330 Hypoxanthine-guanine phosphoribosyltransferase,20.4865,18.60422,20.58169,21.07457,20.00436,20.72916,20.6063,20.67521,21.52908,20.52478,18.41232,21.1756,20.4171,19.49411,20.42091,0.015260349,0.033774644,0.025879348,0.021069605,0.018299464,19.89080333,20.60269667,20.93686333,20.03756667,20.11070667,0.910581422,0.445968678,0.419704326,1.179537116,0.436002459,0.711893333,1.04606,0.146763333,0.219903333,0.334166667,-0.56513,-0.49199,0.376942197,0.214125562,0.895954871,0.773427216,,,,,0.483359651,0.560656085,0.327094653,,,
JANJIKNC_00339 ATP-dependent zinc metalloprotease FtsH,19.5241,19.37218,19.66514,19.20088,20.60183,20.2,20.03214,19.82915,19.30412,19.79817,20.15231,19.92539,18.55444,19.54694,19.35162,0.01180549,0.022255273,0.011147663,0.019947665,0.009408879,19.52047333,20.00090333,19.72180333,19.95862333,19.151,0.119627909,0.589007548,0.306752626,0.146474402,0.429302031,0.48043,0.20133,0.43815,-0.369473333,-0.2791,-0.04228,-0.849903333,0.321481431,0.43595161,0.030602421,0.306075242,,,+,,0.584264036,0.926263294,0.174475202,,,
JANJIKNC_00342 Dihydroneopterin aldolase,19.77324,20.32235,20.26717,21.36544,20.76991,20.55422,21.24905,20.82672,21.48596,19.67703,19.29883,20.76385,21.51682,21.57413,21.41808,0.017899318,0.041403916,0.030784012,0.019329887,0.048035623,20.12092,20.89652333,21.18724333,19.91323667,21.50301,0.246876818,0.343067218,0.272658996,0.620975626,0.06445121,0.775603333,1.066323333,-0.207683333,1.38209,0.29072,-0.983286667,0.606486667,0.06035596,0.014854708,0.682987778,0.001560777,,+,,+,0.401258572,0.121540116,0.069908121,,,
JANJIKNC_00352 Nucleoid-associated protein Lsr2,24.36493,23.8227,23.86164,22.83779,22.57256,21.77708,22.87923,22.50133,21.71691,22.42798,22.69219,21.21904,22.42488,22.35832,22.26976,0.266378915,0.117050069,0.069680803,0.08880658,0.086462908,24.01642333,22.39581,22.36582333,22.11307,22.35098667,0.246943655,0.450708219,0.484092614,0.641310617,0.06353942,-1.620613333,-1.6506,-1.903353333,-1.665436667,-0.029986667,-0.28274,-0.044823333,0.011163861,0.012691569,0.017292685,0.000763584,+,+,+,+,0.951954591,0.636828216,0.895969167,,,
JANJIKNC_00353 ATP-dependent Clp protease ATP-binding subunit ClpC1,26.80759,27.58671,27.21521,25.44452,24.13446,24.82949,25.95753,25.4936,26.08515,25.1994,25.34804,25.14055,25.42406,25.18299,25.16484,2.425527373,0.620804544,0.777281133,0.770074739,0.648210893,27.20317,24.80282333,25.84542667,25.22933,25.25729667,0.318188325,0.535162053,0.254176079,0.087311239,0.118152056,-2.400346667,-1.357743333,-1.97384,-1.945873333,1.042603333,0.426506667,0.454473333,0.005498413,0.009205989,0.001069621,0.001258218,+,+,+,+,0.067576081,0.328321354,0.305971538,,,
JANJIKNC_00358 Heme-degrading monooxygenase HmoB,21.43746,20.93496,20.75914,20.95823,21.46822,20.41885,21.18168,20.52936,20.09738,19.87337,21.04354,19.35408,21.01373,20.7576,20.72376,0.033936505,0.042920807,0.020530156,0.021854442,0.030163239,21.04385333,20.94843333,20.60280667,20.09033,20.83169667,0.287428628,0.428459512,0.445699773,0.706575075,0.129456266,-0.09542,-0.441046667,-0.953523333,-0.212156667,-0.345626667,-0.858103333,-0.116736667,0.806583186,0.3047731,0.151826804,0.395106754,,,,,0.473406273,0.215867183,0.730937689,,,
JANJIKNC_00364 Carbonic anhydrase,22.73492,22.72767,22.84315,22.93589,23.13115,22.88262,23.61257,23.42624,23.36426,22.791,22.51203,22.65744,22.67932,23.64988,23.21688,0.112166088,0.175873215,0.149557456,0.129159922,0.153814687,22.76858,22.98322,23.46769,22.65349,23.18202667,0.052811958,0.106839091,0.105524218,0.11392327,0.396995168,0.21464,0.69911,-0.11509,0.413446667,0.48447,-0.32973,0.198806667,0.063508762,0.001109964,0.264637322,0.218080603,,+,,,0.01031875,0.040511592,0.531615874,+,+,
JANJIKNC_00365 hypothetical protein,19.75068,21.45357,19.66286,22.90538,20.57227,23.61493,22.52724,22.88591,21.2149,18.93758,20.10935,19.45919,21.75185,21.72413,21.6817,0.020111509,0.11451282,0.062518706,0.014536063,0.055802175,20.28903667,22.36419333,22.20935,19.50204,21.71922667,0.82422954,1.299771063,0.718266034,0.479331705,0.028847734,2.075156667,1.920313333,-0.786996667,1.43019,-0.154843333,-2.862153333,-0.644966667,0.129221439,0.067917619,0.307931506,0.070262059,,,,,0.889903573,0.043165353,0.521611894,,+,
JANJIKNC_00368 Putative lipoprotein LpqE,19.15136,17.15386,18.014,19.3038,19.7455,19.83191,21.14488,21.20467,21.01686,19.80261,19.52028,19.71863,18.92105,19.03022,18.87506,0.004430039,0.017175045,0.029425656,0.016450178,0.008140587,18.10640667,19.62707,21.12213667,19.68050667,18.94211,0.818089566,0.231292444,0.078341532,0.118371164,0.065070726,1.520663333,3.01573,1.5741,0.835703333,1.495066667,0.053436667,-0.68496,0.064693325,0.00656336,0.054484415,0.223257203,,+,,,0.000978957,0.785619644,0.015712688,+,,+
JANJIKNC_00369 RNA polymerase-binding transcription factor CarD,19.15118,19.07082,18.88166,19.0203,19.78039,19.58903,19.40158,19.59556,19.62854,19.72597,19.9613,19.81371,19.52092,19.14723,19.8405,0.008429611,0.015331341,0.009840689,0.018292555,0.012007851,19.03455333,19.46324,19.54189333,19.83366,19.50288333,0.112979971,0.322801843,0.1001259,0.097103224,0.283313506,0.428686667,0.50734,0.799106667,0.46833,0.078653333,0.37042,0.039643333,0.150970096,0.008952767,0.001619625,0.095653039,,+,+,,0.758579122,0.195141423,0.902445147,,,
JANJIKNC_00372 Cysteine--tRNA ligase,19.22299,19.76788,20.946,20.16565,19.89277,18.68762,19.7277,19.45814,20.49365,20.03739,19.32021,19.42278,18.79459,19.42874,18.67992,0.016221883,0.016646942,0.012553601,0.015486988,0.008286557,19.97895667,19.58201333,19.89316333,19.59346,18.96775,0.719076206,0.642168436,0.438637152,0.316686527,0.329313566,-0.396943333,-0.085793333,-0.385496667,-1.011206667,0.31115,0.011446667,-0.614263333,0.591621674,0.892430135,0.525963209,0.144858167,,,,,0.601743191,0.983045311,0.295063389,,,
JANJIKNC_00388 putative protein,18.87311,20.19412,19.78298,20.74279,21.17035,19.38486,20.60041,19.94778,20.30095,20.8233,20.67133,19.7992,19.82965,20.91867,20.66336,0.012620082,0.030019721,0.016448826,0.027680562,0.023483618,19.61673667,20.43266667,20.28304667,20.43127667,20.47056,0.551962855,0.761194673,0.26673567,0.451231208,0.465023311,0.81593,0.66631,0.81454,0.853823333,-0.14962,-0.00139,0.037893333,0.287028316,0.199078972,0.181448488,0.169638226,,,,,0.806018325,0.998333895,0.95497561,,,
