Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P,PhAc,DBP,DEHP,ATBC,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
BDBJPGFE_00141 Fructose-bisphosphate aldolase class 1,-18.37869,-17.38952,-19.14347,-11.97752,-11.79035,-11.26636,-10.64882,-10.69712,-11.66454,-15.83999,-16.47736,-16.40747,-13.99588,-14.17776,-15.95007,0.0003131099396713845,0.0314868069055297,0.050093830609573654,0.0012988618366209675,0.003763758690701594,-18.30389333333333,-11.678076666666668,-11.003493333333333,-16.24160666666667,-14.707903333333334,0.7179977050257347,0.30098849638409014,0.46784630249212794,0.28541561885939065,0.8814773978699375,6.625816666666664,7.300399999999998,2.0622866666666617,3.595989999999997,0.6745833333333344,-4.563530000000002,-3.0298266666666667,0.00027322252523744695,0.00027219591572105625,0.019524879006300913,0.011047798152969532,+,+,+,+,0.1615117159448123,9.962347759973421e-05,0.010029607531164407,,+,+
BDBJPGFE_00163 Glutamate/aspartate import solute-binding protein,-15.87522,-18.16737,-19.46334,-16.00921,-13.72101,-15.96446,-14.04487,-14.73015,-14.50353,-15.34629,-17.42789,-14.66233,-14.21017,-15.64467,-13.49517,0.0004332658839234064,0.0026817824749566957,0.004671451959948124,0.0017491871344458394,0.004500465193341597,-17.835309999999996,-15.23156,-14.426183333333332,-15.81217,-14.450003333333333,1.4835428690132273,1.0682763741966155,0.28506028570968805,1.1761132766305582,0.893766406220825,2.6037499999999962,3.4091266666666638,2.023139999999996,3.385306666666663,0.8053766666666675,-0.5806100000000001,0.7815566666666669,0.11424981635638846,0.03317092954300161,0.20524364693766764,0.05062994497325168,,+,,,0.36115726704412304,0.6325611084443896,0.47187753251543313,,,
BDBJPGFE_00165 Multidrug resistance protein MdtA,-14.1122,-19.36365,-17.27658,-15.91285,-15.65019,-15.4715,-13.52892,-12.17933,-12.35564,-16.89387,-15.33129,-15.46773,-16.62296,-14.75218,-16.58211,0.0008185587545254617,0.001967784483573723,0.015585051656968503,0.0016485808507556547,0.0015522139950695912,-16.91747666666667,-15.67818,-12.687963333333334,-15.897630000000001,-15.985750000000001,2.158880601705945,0.18126414556295092,0.5989865832850977,0.7066468102241743,0.8724251216389101,1.2392966666666698,4.229513333333335,1.019846666666668,0.9317266666666679,2.990216666666665,-0.21945000000000192,-0.3075700000000019,0.4638994113348751,0.05581965771904846,0.5599818484606192,0.6017084808635348,,,,,0.00250131456090083,0.6924249685938262,0.6509938661789116,+,,
BDBJPGFE_00171 D-hydantoinase/dihydropyrimidinase,-20.0323,-17.71425,-18.70617,-13.24631,-13.10395,-12.67187,-14.02535,-13.84261,-14.30088,-16.93039,-17.22486,-16.77255,-15.72706,-16.08939,-14.99079,0.00021931269228694995,0.012530530201581142,0.006036759661657035,0.0007807439061934535,0.002024638215090258,-18.817573333333332,-13.007376666666666,-14.056280000000001,-16.97593333333333,-15.602413333333336,0.9496128957399194,0.24425415033435025,0.18836196873749886,0.187441956230604,0.457079922722007,5.810196666666666,4.761293333333331,1.8416400000000017,3.2151599999999956,-1.0489033333333353,-3.9685566666666645,-2.5950366666666707,0.001109213413800224,0.002245421112255618,0.05461555584129637,0.012502389974544061,+,+,,+,0.008590643456346587,5.3267767236240005e-05,0.002099098080965515,+,+,+
BDBJPGFE_00209 hypothetical protein,-17.1339,-20.11548,-18.33747,-12.7896,-11.59764,-11.84626,-11.68068,-11.9227,-13.07682,-14.92354,-13.25196,-15.86286,-15.6985,-15.28202,-15.56443,0.0002678847845982564,0.023866562560352043,0.021456175409853666,0.0038354645021440514,0.002151129135059455,-18.52895,-12.077833333333333,-12.226733333333334,-14.679453333333333,-15.514983333333333,1.2247321521867551,0.5134275781018738,0.6091682448132768,1.0797788131938046,0.17358499787968112,6.451116666666666,6.302216666666665,3.8494966666666652,3.013966666666665,-0.14890000000000114,-2.6016200000000005,-3.437150000000001,0.0023515571593363893,0.002864149696192536,0.028990678345100725,0.026154004121283544,+,+,+,+,0.8045945604075844,0.03703071198117262,0.0008551834157994583,,+,+
BDBJPGFE_00215 Solute-binding protein,-18.89119,-19.46021,-20.08019,-11.60649,-11.86015,-11.70795,-12.6624,-12.67906,-13.33634,-15.86912,-16.06261,-16.90856,-15.75088,-14.41023,-14.41881,0.00013883448613295706,0.030482068223399373,0.013524040766268343,0.001264667365861201,0.0033872257317037256,-19.477196666666668,-11.724863333333333,-12.8926,-16.28009666666667,-14.859973333333334,0.485555805329201,0.10424456671159843,0.3138452693074514,0.4513566335935359,0.6299758834713878,7.752333333333334,6.584596666666668,3.197099999999999,4.6172233333333335,-1.1677366666666664,-4.5552333333333355,-3.135110000000001,2.4919570586793423e-05,8.691061234081542e-05,0.002416262656087523,0.0011997483231582628,+,+,+,+,0.007524110247748925,0.00015503939122919524,0.0022597032013704174,+,+,+
BDBJPGFE_00217 hypothetical protein,-19.39437,-17.60309,-17.9468,-15.31627,-15.4832,-16.03603,-17.85369,-17.36893,-17.36749,-16.20073,-16.82509,-14.67857,-15.68294,-15.68953,-14.46776,0.00031076182894031635,0.0020603920643525704,0.0005433740971036801,0.0016442062799406926,0.0025315145932424572,-18.314753333333332,-15.611833333333331,-17.530036666666664,-15.901463333333332,-15.280076666666666,0.7761929533448628,0.30759661380161907,0.22885822180749607,0.9015014996967863,0.574400923997245,2.7029200000000007,0.7847166666666681,2.41329,3.034676666666666,-1.9182033333333326,-0.2896300000000007,0.33175666666666537,0.010196620803044194,0.24215690826853975,0.04551807535856265,0.01129454447143368,+,,+,+,0.002105579629304567,0.6893420308937945,0.5113179723444083,+,,
BDBJPGFE_00218 hypothetical protein,-17.89782,-19.37698,-18.19285,-12.54915,-13.35853,-12.88481,-15.06022,-15.83566,-15.65275,-14.99319,-16.20756,-16.53099,-14.74867,-13.55314,-16.36411,0.00027536514800503484,0.01321333026746832,0.002194427132114829,0.0016338489844395286,0.003320585088712099,-18.489216666666668,-12.93083,-15.51621,-15.910580000000001,-14.88864,0.6391940118791964,0.3320264812732064,0.3309674476440248,0.6619944865329316,1.1518338381033957,5.558386666666667,2.9730066666666684,2.5786366666666662,3.600576666666667,-2.585379999999999,-2.979750000000001,-1.9578100000000003,0.00040030155736538376,0.004282739748819881,0.016637184978213426,0.018063124807599747,+,+,+,+,0.0014581855629733156,0.004711583280528435,0.0820558720834647,+,+,
BDBJPGFE_00219 hypothetical protein,-20.28151,-20.21401,-19.72443,-13.95154,-14.02479,-14.85733,-16.49228,-15.95143,-16.25119,-15.29058,-16.32682,-15.19497,-16.79945,-14.80653,-15.19454,9.184327383624815e-05,0.005194070353053178,0.001336464051056949,0.0020205265501718303,0.0020277842106585565,-20.073316666666667,-14.277886666666666,-16.231633333333335,-15.604123333333334,-15.600173333333336,0.24823442164391396,0.410818145520483,0.22123370453487043,0.5125122255669189,0.8626843116819861,5.795430000000001,3.8416833333333322,4.469193333333333,4.473143333333331,-1.9537466666666692,-1.3262366666666683,-1.3222866666666704,6.899496587047957e-05,8.212393877640168e-05,0.0003748813081771852,0.0021378547496163605,+,+,+,+,0.004074105081033038,0.04614064319271326,0.12196385033811745,+,+,
BDBJPGFE_00228 putative protein,-19.04914,-20.1178,-17.79257,-10.0899,-9.362428,-9.414524,-12.34305,-11.87242,-12.32042,-10.71091,-11.36392,-11.32852,-10.66612,-10.80229,-9.813704,0.00019507911161954574,0.1309133325170143,0.022183642472153774,0.04476826934245959,0.07314595268556871,-18.98650333333333,-9.622284,-12.17863,-11.13445,-10.427371333333333,0.9503038644676873,0.3313377339372423,0.21672017641804073,0.29983649844540256,0.4374747720157382,9.364219333333331,6.8078733333333314,7.852053333333332,8.559131999999998,-2.5563459999999996,-1.5121659999999988,-0.8050873333333328,0.00019264895288836813,0.000589422910135181,0.0003690422714813762,0.00031874968155966266,+,+,+,+,0.000798160299127607,0.008739386107282792,0.1066622459952536,+,+,
BDBJPGFE_00243 sn-glycerol-3-phosphate-binding periplasmic protein UgpB,-14.14281,-14.34957,-14.4654,-8.006065,-8.480938,-8.18676,-11.32023,-11.37111,-11.10533,-12.18035,-12.50345,-11.79687,-13.34798,-11.02396,-15.21933,0.004956681455417579,0.3449311366336421,0.04177296660429242,0.021987799271999967,0.010725607560608884,-14.31926,-8.224587666666666,-11.265556666666667,-12.160223333333334,-13.197090000000001,0.13342937982318578,0.19570264996729686,0.1151857402439882,0.28881093715824263,1.7160726875242391,6.0946723333333335,3.053703333333333,2.1590366666666654,1.1221699999999988,-3.0409690000000005,-3.935635666666668,-4.972502333333335,3.4046895098944953e-06,1.6469880332378796e-05,0.0006587872304404715,0.4087084701599009,+,+,+,,4.578908861468498e-05,9.02407836188143e-05,0.015204894112486048,+,+,+
BDBJPGFE_00254 Solute-binding protein,-9.231629,-10.24445,-10.39417,-13.67478,-13.5365,-15.2113,-11.14717,-10.90336,-12.204,-18.00046,-16.25079,-17.49849,-14.98099,-15.51133,-15.07287,0.1019617958998317,0.0057115892125030815,0.03757959720740304,0.0006457024064656654,0.002697608151516908,-9.956749666666667,-14.140860000000002,-11.418176666666668,-17.249913333333335,-15.188396666666668,0.5163680893318473,0.7590176479283378,0.5645054250895701,0.7356081595674584,0.23140863846355292,-4.184110333333335,-1.4614270000000005,-7.293163666666668,-5.231647000000001,2.7226833333333342,-3.1090533333333337,-1.047536666666666,0.0029813199955481683,0.05401138301920415,0.0003290914796466661,0.00019751222263846878,+,,+,+,0.015215796239364077,0.014147471102590858,0.13530817898162734,+,+,
BDBJPGFE_00260 hypothetical protein,-19.42791,-20.36452,-18.86079,-11.29875,-12.25337,-15.34232,-14.12948,-12.51489,-13.46958,-15.06673,-16.30026,-15.14043,-15.20942,-14.955,-15.93902,0.00013190409073756285,0.012905721460110587,0.009705063808622197,0.002168024873982672,0.002382149792036157,-19.55107333333333,-12.964813333333334,-13.371316666666667,-15.502473333333334,-15.367813333333332,0.620041871292217,1.7257323660083828,0.662805642217653,0.5649221755447587,0.4170453022021572,6.586259999999998,6.179756666666664,4.048599999999997,4.183259999999999,-0.4065033333333332,-2.5376600000000007,-2.4029999999999987,0.007083489140287414,0.0006504470866457621,0.002408745529529981,0.0013773812730746272,+,+,+,+,0.7713505277268637,0.11929514793152747,0.12813553705205363,,,
BDBJPGFE_00264 Sialic acid-binding periplasmic protein SiaP,-14.32826,-13.49307,-17.82488,-13.20637,-13.24108,-15.613,-11.7542,-11.58259,-12.33805,-13.42419,-15.95236,-16.39275,-10.12224,-16.43893,-16.03012,0.0026633300292572045,0.006210038539954476,0.027066586183630253,0.0025711634199384074,0.005362778998946233,-15.215403333333333,-14.020150000000001,-11.891613333333334,-15.256433333333334,-14.197096666666667,1.8764171425766598,1.1264041719560522,0.32335921308799775,1.3080067692060655,2.886188264179745,1.1952533333333317,3.323789999999999,-0.04103000000000101,1.0183066666666658,2.128536666666667,-1.2362833333333327,-0.17694666666666592,0.48300155750698626,0.06904466981388482,0.9809763855361603,0.6971914582529315,,,,,0.06206694407844996,0.3684156324893431,0.9395050711992468,,,
BDBJPGFE_00269 Solute-binding protein,-10.50036,-11.59371,-11.52257,-9.908769,-9.039773,-9.428465,-8.581424,-8.58492,-8.856841,-9.534966,-9.604675,-9.459102,-8.301209,-8.775454,-8.651975,0.042905416361598475,0.14660087342384948,0.2517170909695558,0.13585654961064397,0.26390315732415787,-11.205546666666669,-9.459002333333332,-8.674395,-9.532914333333332,-8.576212666666667,0.49948733786642535,0.3554226672093692,0.12901669837918872,0.059447632889983545,0.20088475696334504,1.7465443333333361,2.531151666666668,1.6726323333333362,2.629334000000002,0.7846073333333319,-0.07391199999999998,0.8827896666666657,0.015745200846311945,0.002265438876197567,0.009290580902976235,0.002304899595835815,+,+,+,+,0.04261925120921242,0.7861831294631343,0.03773390426175026,+,,+
BDBJPGFE_00280 hypothetical protein,-14.02322,-19.12489,-19.96339,-12.00383,-9.878823,-9.648832,-10.76486,-10.75938,-11.19168,-12.43662,-12.35926,-12.51103,-11.89777,-11.97776,-12.19958,0.00047460566058307746,0.07073033660332748,0.053621798302517155,0.018166618206922606,0.02416824486172322,-17.703833333333336,-10.510495,-10.905306666666666,-12.435636666666667,-12.025036666666665,2.625002405666623,1.0601135258983665,0.2025088839752192,0.06196374441737826,0.12766788015089062,7.193338333333335,6.798526666666669,5.268196666666668,5.6787966666666705,-0.3948116666666657,-1.9251416666666668,-1.5145416666666645,0.022891940175241716,0.02173617149050624,0.04698943488434693,0.03781232097176617,+,+,+,+,0.6322160010621543,0.06238638127899059,0.11533236395915555,,,
BDBJPGFE_00283 Alpha-ketoglutaric semialdehyde dehydrogenase,-18.87265,-20.70776,-18.82007,-14.5239,-14.70246,-17.39381,-13.51528,-13.70935,-14.84698,-16.07931,-16.74874,-15.14017,-15.95455,-16.30144,-15.93584,0.00013983601472001596,0.0021654930696556624,0.00617390962672241,0.0015469729556430954,0.001470324033039547,-19.466826666666666,-15.540056666666667,-14.02387,-15.989406666666667,-16.06394333333333,0.8777348944616223,1.312826971090334,0.5873944417510263,0.6597657757281923,0.1681091233560971,3.9267699999999994,5.4429566666666656,3.4774199999999986,3.4028833333333353,1.5161866666666661,-0.4493500000000008,-0.5238866666666642,0.024527891021961394,0.0018837427547841112,0.011000936057993165,0.00574987852187357,+,+,+,+,0.21026020328555103,0.6876702536805903,0.6054962283387203,,,
BDBJPGFE_00290 Aldose 1-epimerase,-12.77554,-13.93723,-14.24902,-10.5503,-11.1245,-10.67202,-12.2138,-12.64499,-12.3222,-11.04228,-16.11771,-16.96385,-10.37171,-14.56839,-15.06566,0.007860954754084744,0.05858579051726669,0.019111790399086122,0.0037604569363024385,0.009746093979565218,-13.65393,-10.78227333333333,-12.393663333333334,-14.707946666666667,-13.335253333333334,0.6340241820309381,0.24704015615999644,0.18314194865064481,2.6149343278220627,2.105352097177308,2.87165666666667,1.2602666666666664,-1.0540166666666657,0.3186766666666667,-1.6113900000000037,-3.925673333333336,-2.5529800000000034,0.003958652336240616,0.054057465311526685,0.609099649454744,0.8476035402046758,+,,,,0.0017693999413787517,0.10206637349362951,0.1637378439493382,+,,
BDBJPGFE_00291 L-arabinose-binding periplasmic protein,-10.91456,-11.65194,-11.83332,-10.25663,-9.860801,-9.799808,-10.63654,-10.56332,-10.31193,-11.76719,-17.18789,-15.9146,-11.30468,-15.18118,-14.41498,0.035803479109791356,0.10270333516492966,0.07082193541737218,0.003165195568178697,0.007925292237428614,-11.466606666666666,-9.972413000000001,-10.50393,-14.956560000000001,-13.633613333333335,0.39731710067512704,0.2025084588011074,0.13901628705539004,2.314357737213502,1.6762484826407915,1.4941936666666642,0.9626766666666651,-3.489953333333336,-2.167006666666669,-0.5315169999999991,-4.984147,-3.6612003333333334,0.00904750173357056,0.031845461328079715,0.1034398466433348,0.1498649104080995,+,+,,,0.0376519337938218,0.03862776499668767,0.03741766478185981,+,+,+
BDBJPGFE_00301 Ribose import binding protein RbsB,-17.30272,-20.78779,-18.63907,-12.33576,-10.64712,-11.07229,-13.35961,-12.64775,-13.24577,-15.97001,-15.72968,-12.95726,-12.38593,-14.72051,-13.3484,0.0002057229349056814,0.039479419964245206,0.011840660855643026,0.003324655006079026,0.0087855390085519,-18.90986,-11.351723333333334,-13.084376666666666,-14.88565,-13.484946666666666,1.435600604694774,0.7171417819991311,0.3122200302493241,1.3671029274345077,0.9579664880127885,7.558136666666664,5.825483333333333,4.024209999999998,5.424913333333333,-1.7326533333333316,-3.533926666666666,-2.1332233333333317,0.00263919230734885,0.004967646659267065,0.04543171039865681,0.01128788056780377,+,+,+,+,0.03509070370780563,0.031754244166054414,0.0652838855178215,+,+,
BDBJPGFE_00305 Putative binding protein MsmE,-15.25909,-20.36395,-18.32487,-11.0308,-11.35915,-11.19331,-12.86879,-13.09569,-12.82475,-13.18933,-18.51659,-16.13774,-15.507,-15.10599,-14.97802,0.0003912053158181989,0.044027475603246914,0.013180297520174876,0.0015921408554774323,0.0026815629741910986,-17.982636666666668,-11.19442,-12.929743333333334,-15.947886666666667,-15.197003333333333,2.0980533272112556,0.13405062401943543,0.11871142189734232,2.1789841659258466,0.2253405278437252,6.788216666666669,5.0528933333333335,2.0347500000000007,2.785633333333335,-1.7353233333333353,-4.753466666666668,-4.002583333333334,0.010289168957394413,0.027264421243486908,0.3953186143790288,0.1353082774152023,+,+,,,0.00016416932169460602,0.036956990785960715,2.7230909764572692e-05,+,+,+
BDBJPGFE_00326 UDP-glucose 6-dehydrogenase,-16.316,-20.55488,-19.26592,-14.79191,-16.29258,-15.81032,-13.49354,-13.39065,-13.58755,-17.34864,-16.39109,-14.89584,-15.75778,-15.79717,-14.12624,0.00023591971328699795,0.0020323500171847827,0.008935041097191523,0.0013259238997963523,0.0026262679804942963,-18.712266666666668,-15.631603333333336,-13.49058,-16.211856666666666,-15.227063333333334,1.7742463045348464,0.6255436821588798,0.08041133294919706,1.0093398505403859,0.7785657332271669,3.080663333333332,5.221686666666669,2.5004100000000022,3.4852033333333345,2.1410233333333366,-0.5802533333333297,0.40454000000000256,0.08151040778907967,0.014170104333737051,0.15825177839518476,0.06372072073651637,,+,,,0.008642669796046385,0.5275436585649721,0.5974209722462451,+,,
BDBJPGFE_00327 Flagellar hook-associated protein 2,-4.42131,-4.163424,-4.224041,-6.588414,-7.396909,-7.456777,-7.787094,-6.475543,-6.431487,-5.436677,-5.732096,-5.317549,-5.515413,-4.788895,-5.33572,5.2534260632412355,0.7277936004531038,0.8622802533394182,2.230905945230354,2.7149968349969864,-4.269591666666667,-7.147366666666667,-6.898041333333333,-5.495440666666667,-5.213342666666667,0.1100982732965822,0.3959941977995243,0.6289124029435436,0.17426451195875278,0.30896521904181296,-2.8777749999999997,-2.6284496666666657,-1.2258490000000002,-0.9437509999999998,0.24932533333333406,1.6519259999999996,1.934024,0.000583882378154596,0.004334519887878642,0.001094078597823102,0.015233512831127253,+,+,+,+,0.659929432110115,0.005693024094452377,0.005522644177906154,,+,+
