Fasta headers,P,P,P,PhAc,PhAc,PhAc,DBP,DBP,DBP,DEHP,DEHP,DEHP,ATBC,ATBC,ATBC,P_relabun,PhAc_relabun,DBP_relabun,DEHP_relabun,ATBC_relabun,P,PhAc,DBP,DEHP,ATBC,P_sd,PhAc_sd,DBP_sd,DEHP_sd,ATBC_sd,P_PhAc_fc,P_DBP_fc,P_DEHP_fc,P_ATBC_fc,PhAc_DBP_fc,PhAc_DEHP_fc,PhAc_ATBC_fc,P_PhAc_ttest,P_DBP_ttest,P_DEHP_ttest,P_ATBC_ttest,P_PhAc_ttest_sig,P_DBP_ttest_sig,P_DEHP_ttest_sig,P_ATBC_ttest_sig,PhAc_DBP_ttest,PhAc_DEHP_ttest,PhAc_ATBC_ttest,PhAc_DBP_ttest_sig,PhAc_DEHP_ttest_sig,PhAc_ATBC_ttest_sig
BDBJPGFE_00090 N-carbamoyl-L-amino-acid hydrolase,26.82299,27.43126,26.77027,23.60778,25.35678,25.57673,24.15445,24.78966,24.12126,24.16511,25.0184,24.53976,25.46429,25.63835,24.6423,0.008191309202164742,0.0020496263615108518,0.0011537178428731897,0.0014915611441894301,0.0024295405864240872,27.008173333333332,24.84709666666667,24.355123333333335,24.574423333333332,25.24831333333333,0.29994065550075505,0.8809176468635164,0.3075624381415194,0.3492154216080515,0.4343680014560107,-2.1610766666666628,-2.653049999999997,-2.43375,-1.7598600000000033,-0.49197333333333404,-0.2726733333333371,0.40121666666665945,0.03038021947046195,0.0009469873399758191,0.001710872296444074,0.009206318445714071,+,+,+,+,0.4973026985075899,0.704888195518838,0.5944296012431645,,,
BDBJPGFE_00091 Putrescine--pyruvate aminotransferase,25.94831,26.19368,25.64463,24.9674,25.73744,24.01935,24.15736,25.98058,23.87115,23.95948,25.65611,23.56088,24.32035,25.34189,24.08084,0.0038766058383404274,0.0021380974402151072,0.0014348140424811325,0.0013145385521333096,0.001529857063924364,25.928873333333332,24.908063333333335,24.669696666666667,24.392156666666665,24.581026666666663,0.224569682776243,0.7026611046743816,0.9342699025561199,0.9084433615195227,0.5468247854863769,-1.0208099999999973,-1.259176666666665,-1.536716666666667,-1.347846666666669,-0.23836666666666773,-0.5159066666666696,-0.32703666666667175,0.12197096865906856,0.13747211743145726,0.08092628893579636,0.032142564152534345,,,,+,0.7873936964616187,0.5597720338905473,0.63086655014771,,,
BDBJPGFE_00102 Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,27.5695,28.32462,28.07567,23.23977,26.43762,25.66856,27.09416,26.98348,26.50848,26.35424,26.65376,26.55636,25.03714,26.44463,26.16842,0.016176759352451178,0.0024684081041798545,0.00655777818327209,0.005751160578586502,0.003773143230825138,27.98993,25.11531666666667,26.862039999999997,26.52145333333333,25.883396666666666,0.3141815444399401,1.3628694716255434,0.2540551394218719,0.12474484393708901,0.6089256935693292,-2.8746133333333326,-1.1278900000000043,-1.468476666666671,-2.106533333333335,1.7467233333333283,1.4061366666666615,0.7680799999999977,0.0438238619998307,0.01684976980920972,0.003559838216346705,0.012178503999231441,+,+,+,+,0.14936469922915785,0.2198720801479549,0.5071140248154633,,,
BDBJPGFE_00107 Heme oxygenase (staphylobilin-producing) 2,25.62067,25.91932,25.72624,25.32676,25.81506,25.4936,24.46716,25.04033,24.65567,23.69205,24.38652,25.55039,24.56586,24.81958,24.8094,0.0034374309187427906,0.0033251150741287934,0.001486810144404522,0.0014594112228515069,0.0016981731102608797,25.75541,25.54514,24.721053333333334,24.542986666666668,24.731613333333332,0.12365576492828725,0.2026515913252754,0.23851931778276522,0.766689094845855,0.11727896581323549,-0.2102700000000013,-1.0343566666666675,-1.2124233333333336,-1.0237966666666694,-0.8240866666666662,-1.0021533333333323,-0.8135266666666681,0.2785853168418206,0.005525990872458735,0.09184366633097683,0.0010526774566520258,,+,,+,0.020409992533541917,0.1484394443018555,0.007965237724896443,+,,+
BDBJPGFE_00114 Fumarate reductase flavoprotein subunit,26.54338,26.72012,26.2171,24.63711,24.43929,24.18858,24.99205,24.91452,25.24744,24.4345,24.61696,23.74656,25.25961,24.03581,24.29611,0.005733650846552572,0.0015261790942259856,0.001869307317288295,0.0012044766729398775,0.0014772153920625099,26.493533333333332,24.421660000000003,25.051336666666668,24.266006666666666,24.530510000000003,0.20835994134083455,0.183535469596478,0.1422324698825451,0.3747813073721203,0.5263896718844944,-2.071873333333329,-1.4421966666666641,-2.227526666666666,-1.9630233333333287,0.6296766666666649,-0.15565333333333697,0.10885000000000034,0.0004562196400540211,0.0012719205126373303,0.001828166708941101,0.008022472423628323,+,+,+,+,0.01853707179202674,0.6257551738746341,0.7961234559678342,+,,
BDBJPGFE_00122 N-carbamoyl-L-amino-acid hydrolase,25.18246,25.11783,25.49427,25.93519,24.5237,25.93049,26.4441,24.32508,25.6365,25.56631,26.05534,25.96805,25.75824,25.67422,25.72858,0.002446592881357203,0.003141363594759968,0.002496188880311934,0.003644278257756646,0.003369925895053456,25.264853333333335,25.463126666666664,25.46856,25.863233333333337,25.720346666666668,0.16435381434237795,0.6642777376134829,0.8731988405855791,0.21295928473667336,0.034791578802285346,0.1982733333333293,0.20370666666666537,0.5983800000000024,0.4554933333333331,0.005433333333336066,0.40010666666667305,0.2572200000000038,0.7029776889864465,0.7620133550671048,0.0346536787419242,0.018548012775510478,,,+,+,0.9947474327259043,0.46278833677725567,0.6135519491125372,,,
BDBJPGFE_00126 Beta-alanine--pyruvate aminotransferase,25.49363,24.94615,25.28228,27.69465,27.42998,27.79346,27.44031,27.17188,27.29351,28.13839,27.80901,27.60724,27.52992,28.00924,27.71313,0.002405951210674188,0.014198116021065839,0.008895447000422697,0.014459506941891126,0.01376691627356265,25.240686666666665,27.639363333333332,27.3019,27.851546666666668,27.750763333333328,0.22543453097419572,0.15345333543313885,0.10974655742512629,0.2189171938326353,0.1974826852044381,2.398676666666667,2.0612133333333347,2.6108600000000024,2.510076666666663,-0.3374633333333321,0.2121833333333356,0.11139999999999617,0.0002401599863005642,0.00031282068000434255,0.0003001278255089901,0.0002908906678493795,+,+,+,+,0.06468732163909233,0.3245004625469105,0.5629289680116122,,,
BDBJPGFE_00127 Putative 3-oxopropanoate dehydrogenase,26.24078,26.38683,26.07672,25.07131,25.31236,25.32546,26.25775,25.22131,24.67755,23.46493,24.97264,24.80915,26.00393,24.54266,24.52953,0.004792230783802785,0.0026844767991176326,0.002356594884129102,0.0013360491850566473,0.0020816731053764077,26.234776666666665,25.23637666666667,25.385536666666667,24.41557333333333,25.025373333333334,0.12667302536671082,0.11684221792181503,0.6554824221051926,0.6755118086475039,0.6919648168480498,-0.9983999999999966,-0.8492399999999982,-1.8192033333333342,-1.2094033333333307,0.1491599999999984,-0.8208033333333375,-0.2110033333333341,0.001208890950068201,0.14641474036559857,0.020062849787875935,0.07187746590476822,+,,+,,0.7672256800389139,0.16566139372188182,0.6925531817873363,,,
BDBJPGFE_00137 Ferrichrome outer membrane transporter/phage receptor,27.92892,28.80836,28.02538,28.33845,28.47591,28.1305,28.86343,28.22725,28.68552,28.48593,28.67805,28.43559,28.4056,28.87144,28.79058,0.019429013161579016,0.02267793861974442,0.02175437660055757,0.0231925538572293,0.02638373424016299,28.25422,28.314953333333335,28.592066666666668,28.53319,28.689206666666667,0.3938100113845085,0.14198846674603058,0.2679942688856525,0.10447278305855465,0.20323900697345348,0.06073333333333508,0.3378466666666675,0.27897000000000105,0.4349866666666671,0.27711333333333243,0.21823666666666597,0.374253333333332,0.8474562189510191,0.37260551738786213,0.38771989017526587,0.2374100901172034,,,,,0.2658937671574629,0.15487245477305964,0.09966680714053856,,,
BDBJPGFE_00141 Fructose-bisphosphate aldolase class 1,29.17624,29.14496,29.18241,29.59192,29.2941,29.44172,30.10037,29.88816,29.98726,29.46287,29.43786,29.64988,29.48817,29.48406,29.67061,0.03660048143192767,0.04955106875027536,0.05740470582479383,0.04586334853827766,0.047834629980726684,29.167870000000004,29.442580000000003,29.991929999999996,29.516869999999997,29.54761333333333,0.01639447671219359,0.1215860266094195,0.08669728061863789,0.09460486280665832,0.08698796098056077,0.2747099999999989,0.8240599999999922,0.3489999999999931,0.37974333333332666,0.5493499999999933,0.0742899999999942,0.10503333333332776,0.033968313224851755,0.00018983591617311655,0.006789128200880353,0.0037277777422240407,+,+,+,+,0.006504782740158775,0.5326993821272955,0.37666619846034377,+,,
BDBJPGFE_00151 DNA-3-methyladenine glycosylase 1,24.64384,24.89532,24.68346,25.91193,24.72549,25.56158,24.51369,24.50503,25.37684,23.64729,24.48822,25.37935,24.45512,24.96634,25.18567,0.0017014845528177812,0.0030061790429685613,0.0015688279061937818,0.0014214399180021494,0.0018678952257278768,24.740873333333337,25.399666666666672,24.79852,24.504953333333333,24.869043333333334,0.11040158734768717,0.4977093623346418,0.4089492761537387,0.7072095230473691,0.30607821073851077,0.6587933333333353,0.05764666666666329,-0.23592000000000368,0.12816999999999723,-0.601146666666672,-0.894713333333339,-0.5306233333333381,0.1416372880438098,0.8567570000038492,0.6653771619094531,0.6071773266026714,,,,,0.2573794229640128,0.21725905133114815,0.2683707269314426,,,
BDBJPGFE_00165 Multidrug resistance protein MdtA,27.38088,27.11515,27.06969,25.23196,25.33475,25.23164,27.67855,27.92982,28.34917,24.24634,26.98294,24.59954,24.9654,25.47267,23.33593,0.009282375458812255,0.0027403894503365217,0.014290790038277401,0.002426157349118687,0.0015408255522964128,27.188573333333334,25.266116666666665,27.985846666666664,25.276273333333336,24.591333333333335,0.13724198442491622,0.04853127124740174,0.27663096552788313,1.2153794725196823,0.9115404032856808,-1.922456666666669,0.7972733333333295,-1.9122999999999983,-2.5972399999999993,2.7197299999999984,0.010156666666670588,-0.6747833333333304,4.838362465564264e-05,0.021747879059999118,0.09151430317875073,0.016338428629876642,+,+,,+,0.0001646795523088428,0.99114360485058,0.354843070398051,+,,
BDBJPGFE_00166 Multidrug resistance protein MexB,26.51135,25.42908,25.98639,25.83386,24.5728,25.7038,28.93725,28.54701,28.95094,25.12833,26.26268,26.75951,25.39293,25.18056,25.81289,0.004004237058394824,0.00294530615022386,0.025332199422268928,0.004148452076058245,0.002817658693473732,25.975606666666664,25.370153333333334,28.811733333333333,26.050173333333333,25.462126666666666,0.44190066638958125,0.566308605228241,0.18727108058165845,0.682669446918167,0.2627437804317268,-0.6054533333333296,2.8361266666666687,0.07456666666666933,-0.5134799999999977,3.4415799999999983,0.680019999999999,0.09197333333333191,0.2991431388310584,0.0011209670098016613,0.9030830352875194,0.23067280781135324,,+,,,0.0012278179967276496,0.33924450882581275,0.8451361447652044,+,,
BDBJPGFE_00171 D-hydantoinase/dihydropyrimidinase,25.93612,26.43546,26.42373,27.11862,25.24715,26.23044,26.69777,27.39999,27.0425,24.25772,26.71109,26.44618,25.48513,26.71385,26.87103,0.004894033760664545,0.0052306887888434765,0.007453512369064879,0.003500100756677498,0.005238087647470229,26.265103333333332,26.198736666666665,27.04675333333333,25.804996666666664,26.356670000000005,0.23267563034309285,0.7643532413020094,0.28669589025461983,1.0994220116143854,0.6196035650855038,-0.06636666666666713,0.7816499999999991,-0.4601066666666682,0.09156666666667235,0.8480166666666662,-0.3937400000000011,0.15793333333333948,0.9121497657553668,0.0401857102338763,0.5936165667823546,0.8544169586323282,,+,,,0.21574433747520938,0.6988602147075145,0.8315559945121498,,,
"BDBJPGFE_00177 GTP 3,8-cyclase",26.15769,26.69272,26.43816,25.41885,24.46307,25.59521,23.93674,24.23602,23.71006,24.67713,24.78205,23.28492,25.08386,24.99123,24.01608,0.005484819157461464,0.0025443684509672835,0.0008778869681454612,0.0011895641873980746,0.00165798030210845,26.429523333333332,25.15904333333333,23.960939999999997,24.248033333333336,24.69705666666667,0.21851044099132352,0.4973663123113821,0.2154030491891891,0.6823696560434741,0.48300586237528226,-1.2704800000000027,-2.468583333333335,-2.1814899999999966,-1.7324666666666637,-1.1981033333333322,-0.9110099999999939,-0.461986666666661,0.029727369019262793,0.0003402961029344352,0.012588049098305368,0.009869046436651142,+,+,+,+,0.03531758225319684,0.20176064128623494,0.39936062816329904,+,,
BDBJPGFE_00183 Ferredoxin,25.10897,25.05544,25.39408,25.31929,26.61255,25.22868,24.38354,24.33594,24.8828,24.46447,24.13817,24.45873,27.14963,24.02141,24.30014,0.002316720584173864,0.003754023295929138,0.0013060955434865424,0.001280040792153134,0.002280626508562165,25.186163333333337,25.72017333333333,24.534093333333335,24.35379,25.15706,0.14863460887544114,0.6320889333173154,0.24733741398250964,0.15248437122100966,1.4135473124731266,0.534009999999995,-0.6520700000000019,-0.8323733333333365,-0.029103333333335257,-1.186079999999997,-1.3663833333333315,-0.5631133333333302,0.30946233993847594,0.03303506785948977,0.005231051009291684,0.9782857383911833,,+,+,,0.06885538802677046,0.04106910635747496,0.6341513663678138,,+,
"BDBJPGFE_00186 Formate dehydrogenase, nitrate-inducible, major subunit",26.48537,26.31602,26.39434,28.59377,28.45329,28.03842,27.42886,27.32757,27.77888,27.46373,26.61919,26.83099,26.57183,26.74394,26.50092,0.005368419409558541,0.02342684773534094,0.010288331321554305,0.007855500078287211,0.006224394641077544,26.398576666666667,28.36182666666667,27.511770000000002,26.971303333333335,26.605563333333333,0.0692017226824745,0.23576480036020864,0.19334895931105148,0.3587736766015908,0.1020396440387529,1.9632500000000022,1.113193333333335,0.5727266666666679,0.20698666666666554,-0.8500566666666671,-1.3905233333333342,-1.7562633333333366,0.00034957907031498006,0.0015564804260369764,0.09094400688357442,0.0764683595461477,+,+,,,0.01692131787697118,0.010178511567533724,0.0006403625253717471,+,+,+
BDBJPGFE_00190 Molybdenum cofactor biosynthesis protein B,27.42614,27.11347,26.99927,25.79642,24.5568,25.91531,26.45205,26.42752,26.95416,26.80341,26.61512,26.4523,26.21684,26.81617,26.67667,0.009224990253837955,0.003054862833439036,0.0055113679085515566,0.006173162575874891,0.0060723861379519874,27.179626666666664,25.422843333333333,26.611243333333334,26.623610000000003,26.569893333333336,0.18043840617291643,0.6143055696927686,0.24268540738074015,0.14346571739153044,0.2560599599486195,-1.7567833333333311,-0.5683833333333297,-0.556016666666661,-0.6097333333333275,1.1884000000000015,1.20076666666667,1.1470500000000037,0.017834923453366822,0.056508270071244635,0.027000884053251045,0.051229836929380934,+,,+,,0.06367642274753858,0.05455099053884545,0.07140878240202878,,,
BDBJPGFE_00196 Molybdopterin molybdenumtransferase,24.46793,24.56192,24.97123,24.90011,24.61335,25.42144,23.35857,24.20503,24.15257,24.88795,23.93349,24.93116,25.32563,24.80882,25.04692,0.0016165827820714266,0.002244764766063692,0.0008447270197317662,0.0015017032864170995,0.0021329155819142962,24.66702666666667,24.9783,23.90539,24.5842,25.060456666666667,0.218499856648821,0.3345022362655691,0.3872528004632979,0.46045948363202027,0.21120381157124543,0.3112733333333324,-0.7616366666666678,-0.08282666666666927,0.3934299999999986,-1.0729100000000003,-0.39410000000000167,0.08215666666666621,0.3323953596489598,0.07257182870523429,0.8295030390000863,0.1410792876136494,,,,,0.04134262936799022,0.38288974899476486,0.7835966901921869,+,,
BDBJPGFE_00199 Response regulator PleD,26.77593,26.74021,26.9619,23.41398,25.57121,25.23762,23.66734,24.83533,23.98061,25.05402,25.05303,24.8013,26.55178,24.21125,24.25656,0.00721967579692173,0.0019042210154443786,0.0010085345001223048,0.0019613537811358573,0.0020546607406007936,26.826013333333332,24.74093666666667,24.16109333333333,24.96945,25.006529999999998,0.09718665626286113,0.9481318714304586,0.4936130976337191,0.11890069217628599,1.0928133176653125,-2.0850766666666622,-2.664920000000002,-1.8565633333333338,-1.8194833333333342,-0.5798433333333399,0.22851333333332846,0.265593333333328,0.03643801962854537,0.0016983514161766293,6.864297763023657e-05,0.07891589089146658,+,+,+,,0.4857708307178111,0.7522204287972629,0.807976360506648,,,
BDBJPGFE_00204 Frizzy aggregation protein FrzCD,28.73121,28.7956,28.18886,24.60213,24.89878,25.15487,25.03553,24.87839,24.56941,26.19858,25.25861,26.42798,26.67825,25.19212,26.75761,0.024214691543383578,0.0021045682111768206,0.0016009672214321383,0.003901754808446272,0.004729530146890244,28.571889999999996,24.88526,24.82777666666667,25.961723333333335,26.209326666666666,0.2721157887125759,0.22585758005138254,0.1936289333292475,0.5059198616601469,0.7200030344534821,-3.6866299999999974,-3.7441133333333276,-2.610166666666661,-2.3625633333333305,-0.05748333333333022,1.0764633333333364,1.324066666666667,0.00012319587449401734,9.249507717211885e-05,0.0030157369505733156,0.012245014846583772,+,+,+,+,0.7981820001865882,0.051496224526358596,0.0681033339279055,,,
BDBJPGFE_00205 Putative acid--amine ligase YjfC,23.4215,23.54321,23.99619,23.95319,25.78683,26.39068,24.88091,25.08568,24.52487,24.44665,25.14543,23.48122,25.58362,23.69272,25.35509,0.0008008222999794534,0.002959111932784118,0.0016039773507354651,0.0012835739833960541,0.001878412004392593,23.65363333333333,25.376900000000003,24.830486666666662,24.357766666666667,24.877143333333336,0.2472679160119412,1.036459141725648,0.23170937030877473,0.6823117157787115,0.8426942761695299,1.723266666666671,1.1768533333333302,0.7041333333333348,1.2235100000000045,-0.5464133333333407,-1.0191333333333361,-0.4997566666666664,0.08412056734862862,0.00797822554452436,0.24194399494189142,0.12013727005348834,,+,,,0.5071601666685135,0.31002968803515907,0.6247427963370409,,,
BDBJPGFE_00206 hypothetical protein,27.06764,27.35792,27.13985,26.57375,26.56483,24.33221,26.23122,24.87947,26.61807,26.69139,26.80132,27.20023,26.70293,26.79774,26.48264,0.00928171063054268,0.004033021051453411,0.0033887513201454967,0.007464504277387209,0.006468689809540931,27.18847,25.82359666666667,25.90958666666667,26.89764666666667,26.661103333333333,0.12339245763011596,1.0545759127830594,0.7453269934882415,0.21861481565123317,0.1319952146438989,-1.3648733333333283,-1.2788833333333294,-0.29082333333332855,-0.5273666666666657,0.0859899999999989,1.0740499999999997,0.8375066666666626,0.14322137383843198,0.07484048533989592,0.1766873923412947,0.014522371078143472,,,,+,0.929502863024622,0.23125529509119583,0.32753926198374783,,,
BDBJPGFE_00209 hypothetical protein,29.3365,29.42109,29.16476,28.6635,28.35934,28.3709,28.47425,28.3995,28.33803,28.80922,28.63118,28.55724,28.42302,28.79216,28.75933,0.04031851842439081,0.025156237735440044,0.019094612930670815,0.02542683143327145,0.025822203303986,29.30745,28.46458,28.403926666666667,28.665879999999998,28.658170000000002,0.10664331233915486,0.14073683052657768,0.0556996028312198,0.10575615852831752,0.16681545511932136,-0.8428699999999978,-0.9035233333333323,-0.6415700000000015,-0.6492799999999974,-0.06065333333333456,0.20129999999999626,0.19359000000000037,0.0025106406471308435,0.00044498224496892944,0.0037865186137767907,0.009750762464154983,+,+,+,+,0.6011958718537687,0.18116223212269558,0.27799406955905764,,,
BDBJPGFE_00212 hypothetical protein,26.9927,27.25476,27.00367,29.09459,29.10375,29.04432,28.87038,28.9343,28.95285,28.94042,28.91715,28.92255,28.95577,28.79705,28.90916,0.008631616216060784,0.03856314838676914,0.027290818707338703,0.030465540972675783,0.03026748434607955,27.08371,29.080886666666668,28.91917666666667,28.926706666666664,28.887326666666667,0.12103349977038112,0.02612555879253631,0.03532573786286093,0.009944232275824624,0.06661096222761699,1.9971766666666682,1.8354666666666688,1.8429966666666644,1.8036166666666666,-0.16170999999999935,-0.15418000000000376,-0.1935600000000015,2.188060201279422e-05,3.2880328228312955e-05,2.7874011550024298e-05,5.064117359807074e-05,+,+,+,+,0.006493753691646701,0.0014575105040835466,0.018686335309121727,+,+,+
